FIELD,FWHM_U,FWHM_F378,FWHM_F395,FWHM_F410,FWHM_F430,FWHM_G,FWHM_F515,FWHM_R,FWHM_F660,FWHM_I,FWHM_F861,FWHM_Z
MC0001,2.321,1.338,1.251,1.202,1.183,1.39,1.173,1.309,2.096,1.345,2.008,2.017
MC0002,1.41085,1.31672,1.28412,1.23989,1.2471,1.24788,1.15159,1.15495,1.11965,1.14379,1.0238,1.12763
MC0003,2.076,1.654,1.735,1.819,1.976,1.898,2.123,1.685,1.765,1.697,1.517,1.649
MC0004,1.674,1.565,1.5,1.466,1.452,1.64,1.396,1.517,1.366,1.389,1.102,1.156
MC0005,1.778,2.184,1.919,1.925,1.914,1.637,1.671,1.523,1.586,1.496,1.521,1.314
MC0006,1.571,1.469,1.577,1.592,1.928,1.404,1.401,1.31,1.299,1.204,1.124,1.178
MC0007,1.658,1.704,1.867,1.676,1.522,1.577,1.382,1.482,1.447,1.451,1.397,1.448
MC0008,1.506,2.007,2.043,2.018,2.098,1.512,2.008,1.424,1.348,1.3,1.347,1.284
MC0009,1.696,1.378,1.436,1.488,1.488,1.471,1.365,1.307,1.552,1.279,1.538,1.517
MC0010,1.483,1.474,1.439,1.431,1.442,1.423,1.388,1.282,1.388,1.258,1.265,1.257
MC0011,1.602,1.462,1.331,1.258,1.348,1.629,1.298,1.465,1.574,1.409,1.332,1.394
MC0012,1.738,1.939,2.167,2.534,2.194,1.623,1.848,1.446,1.311,1.348,1.209,1.223
MC0013,1.816,1.83,1.468,1.466,1.411,1.698,1.393,1.476,1.602,1.457,1.74,1.875
MC0014,1.409,1.563,1.575,1.512,1.665,1.338,1.481,1.285,1.3,1.205,1.122,1.085
MC0015,1.592,2.111,2.101,1.983,1.874,1.634,1.72,1.586,1.349,1.482,1.163,1.345
MC0016,1.943,1.715,1.856,1.656,1.595,1.65,1.485,1.504,1.706,1.477,1.784,1.699
MC0017,1.895,1.778,1.76,1.597,1.673,2.122,2.399,1.962,1.504,1.824,1.459,1.541
MC0018,1.751,1.955,1.948,1.816,1.86,1.5,1.946,1.431,1.313,1.312,1.284,1.236
MC0019,1.512,1.325,1.266,1.255,1.18,1.349,1.232,1.22,1.221,1.182,1.201,1.163
MC0020,1.529,1.531,1.416,1.413,1.412,1.438,1.323,1.286,1.171,1.202,1.149,1.205
MC0021,1.642,1.661,1.596,1.576,1.507,1.595,1.433,1.363,1.399,1.368,1.398,1.323
MC0022,1.755,1.464,1.434,1.436,1.377,1.665,1.249,1.482,1.548,1.34,1.412,1.44
MC0023,1.757,2.206,2.086,1.935,1.855,2.007,1.555,1.759,1.385,1.456,1.18,1.291
MC0024,1.909,1.571,1.564,1.483,1.518,1.637,1.447,1.618,1.358,1.359,1.139,1.211
MC0025,1.223,1.178,1.14,1.145,1.174,1.199,1.137,1.156,1.178,1.058,1.041,1.01
MC0026,1.651,1.674,1.716,1.527,1.48,1.53,1.515,1.431,1.365,1.299,1.239,1.345
MC0027,1.714,1.765,1.626,1.632,1.518,2.173,2.05,1.915,2.148,1.702,2.176,2.085
MC0028,1.76685,1.54896,1.45475,1.50927,1.5193,1.58379,1.37437,1.37089,1.4079,1.45536,1.46775,1.4768
MC0029,1.692,1.892,1.729,1.681,1.707,1.553,1.562,1.472,1.364,1.44,1.254,1.605
MC0030,1.919,1.454,1.386,1.345,1.29,1.63,1.257,1.532,1.511,1.384,1.551,1.578
MC0031,1.97165,1.74025,1.69766,1.69132,1.69809,1.71236,1.54276,1.40333,1.45983,1.61151,1.60265,1.78632
MC0032,1.561,1.483,1.504,1.376,1.381,1.447,1.312,1.351,1.242,1.324,1.113,1.18
MC0033,1.854,1.909,2.055,1.939,3.655,1.659,2.437,1.624,1.451,1.517,1.318,1.431
MC0034,1.334,1.921,1.727,1.708,1.607,1.464,1.509,1.35,1.219,1.231,1.129,1.208
MC0035,2.472,1.571,1.45,1.565,1.518,1.697,1.491,1.627,1.975,1.554,1.829,1.63
MC0036,2.063,1.994,1.752,1.718,1.653,1.884,1.662,1.783,1.454,1.618,1.396,1.551
MC0037,1.96072,1.46059,1.35926,1.47261,1.53899,1.53701,1.49856,1.46833,1.90108,1.56775,1.31832,1.41583
MC0038,1.629,1.504,1.48,1.401,1.428,1.383,1.316,1.31,1.263,1.139,1.043,1.123
MC0039,1.593,1.515,1.377,1.386,1.387,1.482,1.353,1.479,1.351,1.196,1.144,1.187
MC0040,1.46942,1.39034,1.3408,1.42246,1.42254,1.33664,1.32577,1.20675,1.24913,1.16284,1.10187,1.17687
MC0041,1.458,1.449,1.407,1.349,1.285,1.215,1.293,1.16,1.065,1.063,1.08,1.095
MC0042,1.809,1.443,1.412,1.574,1.507,1.399,1.707,1.374,1.437,1.224,1.162,1.29
MC0043,1.83,1.537,1.543,1.499,1.44,1.497,1.416,1.414,1.548,1.292,1.325,1.445
MC0044,2.35,1.617,1.569,1.692,1.621,1.701,1.547,1.58,2.219,1.486,1.608,1.761
