iDR5_Field_Name,Field,NAME,FWHM_U,FWHM_F378,FWHM_F395,FWHM_F410,FWHM_F430,FWHM_G,FWHM_F515,FWHM_R,FWHM_F660,FWHM_I,FWHM_F861,FWHM_Z
HYDRA-0011,HYDRA-0011,HYDRA_0011,1.228,1.227,1.192,1.172,1.251,1.269,1.204,1.187,1.096,1.246,1.212,1.287
HYDRA_0012,HYDRA-0012,HYDRA_0012,1.57944,1.36311,1.3207,1.25544,1.28351,1.31518,1.23874,1.18965,1.24418,1.17619,1.29021,1.20068
HYDRA_0013,HYDRA-0013,HYDRA_0013,1.8159,1.68066,1.57546,1.80377,1.49071,1.27697,1.37353,1.27865,1.42476,1.19237,1.06061,1.21053
HYDRA_0014,HYDRA-0014,HYDRA_0014,1.52319,1.41441,1.35201,1.35192,1.34401,1.36953,1.26059,1.17668,1.18184,1.12812,1.17851,1.22262
HYDRA_0015,HYDRA-0015,HYDRA_0015,1.81142,1.68926,1.58791,1.67047,1.65466,1.62671,1.65856,1.41963,1.6867,1.45515,1.40957,1.49969
HYDRA_0016,HYDRA-0016,HYDRA_0016,2.26172,2.13039,2.09111,2.15025,2.11343,2.03563,2.18912,2.17757,2.28297,2.2882,1.74224,2.06646
HYDRA_0017,HYDRA-0017,HYDRA_0017,2.08585,2.11694,2.19026,2.29095,2.26788,2.20123,2.31153,2.43048,2.61707,2.10389,2.3831,1.90155
HYDRA_0018,HYDRA-0018,HYDRA_0018,1.34113,1.25166,1.18013,1.18858,1.15407,1.15819,1.11106,2.08803,2.01079,1.98407,2.41487,2.10762
HYDRA_0019,HYDRA-0019,HYDRA_0019,2.33649,2.28854,2.17856,2.20891,2.10821,2.03437,2.11933,2.0166,2.25548,1.82123,1.84491,1.64734
HYDRA_0020,HYDRA-0020,HYDRA_0020,1.52114,1.39304,1.34594,1.37256,1.58404,1.36786,1.37718,1.28109,1.21688,1.24518,1.18919,1.3357
HYDRA-0021,HYDRA-0021,HYDRA_0021,1.227,1.189,1.226,1.246,1.349,1.134,1.344,1.254,1.216,1.197,1.256,1.158
HYDRA_0022,HYDRA-0022,HYDRA_0022,2.12209,1.68953,1.62486,1.63909,1.62371,1.41308,1.49339,1.49464,1.57502,1.34296,1.23815,1.68128
HYDRA_0023,HYDRA-0023,HYDRA_0023,1.94936,1.63713,1.57443,1.55713,1.52101,1.41944,1.53398,1.30575,1.23398,1.24223,1.15696,1.16184
HYDRA_0024,HYDRA-0024,HYDRA_0024,1.83241,1.79284,1.62827,1.58549,1.50175,1.39071,1.42194,1.39809,1.40864,1.09081,1.16339,1.10788
HYDRA_0025,HYDRA-0025,HYDRA_0025,1.53972,1.92652,1.91366,1.87477,1.98831,1.89484,1.84543,1.68237,1.51315,1.77834,1.53338,1.93297
HYDRA_0026,HYDRA-0026,HYDRA_0026,1.70056,1.47382,1.36279,2.1106,1.32636,1.28769,1.31662,1.27156,1.21033,1.11057,1.07312,1.08065
HYDRA_0027,HYDRA-0027,HYDRA_0027,1.98836,1.9692,2.0698,2.07612,2.2143,2.00575,1.89215,1.57268,1.8156,1.70382,2.06485,1.91929
HYDRA_0028,HYDRA-0028,HYDRA_0028,1.6603,1.73836,1.44492,1.46638,1.54409,1.3905,1.4042,1.27827,1.44681,1.20846,1.52269,1.24208
