iDR5_Field_Name,Field,NAME,MJD_U,year_U,MJD_F378,year_F378,MJD_F395,year_F395,MJD_F410,year_F410,MJD_F430,year_F430,MJD_G,year_G,MJD_F515,year_F515,MJD_R,year_R,MJD_F660,year_F660,MJD_I,year_I,MJD_F861,year_F861,MJD_Z,year_Z
HYDRA-0011,HYDRA-0011,HYDRA_0011,57787.21079861111,2017.0909884893456,57787.23086805556,2017.0910434741247,57787.236122685186,2017.0910578703704,57787.238287037035,2017.0910638001014,57787.240439814814,2017.0910696981227,57787.21238425926,2017.090992833587,57787.24486111111,2017.0910818112634,57787.21576388889,2017.0910020928463,57787.24980324074,2017.0910953513444,57787.21675925926,2017.0910048198884,57787.25877314815,2017.0911199264333,57787.2196875,2017.0910128424657
HYDRA_0012,HYDRA-0012,HYDRA_0012,58464.271828703706,2018.9459502156267,58464.281226851854,2018.9459759639776,58464.291284722225,2018.946003519787,58464.29657407408,2018.9460180111619,58464.29886574074,2018.9460242897007,58464.30635416666,2018.946044805936,58464.30123842593,2018.946030790208,58464.30920138889,2018.946052606545,58464.327581018515,2018.9461029616946,58464.311273148145,2018.9460582825977,58464.33045138889,2018.946110825723,58464.31582175926,2018.946070744546
HYDRA_0013,HYDRA-0013,HYDRA_0013,58483.2471875,2018.9979375,58483.256423611114,2018.997962804414,58483.260300925926,2018.9979734271942,58483.26571759259,2018.997988267377,58483.26929398148,2018.9979980657026,58483.27386574074,2018.9980105910706,58483.27050925926,2018.9980013952309,58483.27652777778,2018.9980178843227,58483.28900462963,2018.9980520674785,58483.280439814815,2018.9980286022324,58483.299479166664,2018.99808076484,58483.28383101852,2018.9980378932014
HYDRA_0014,HYDRA-0014,HYDRA_0014,58524.160729166666,2019.1100293949771,58524.169953703706,2019.1100546676814,58524.17988425926,2019.110081874683,58524.18537037037,2019.1100969051242,58524.18766203704,2019.110103183663,58524.19353009259,2019.1101192605277,58524.19131944444,2019.1101132039573,58524.19619212963,2019.1101265537798,58524.21244212963,2019.1101710743278,58524.19907407407,2019.110134449518,58524.21790509259,2019.1101860413496,58524.20232638889,2019.1101433599695
HYDRA_0015,HYDRA-0015,HYDRA_0015,58231.02625,2018.3069212328767,58231.03868055555,2018.3069552891934,58231.043703703705,2018.306969051243,58231.04861111111,2018.306982496195,58231.052199074074,2018.3069923262303,58231.06085648148,2018.3070160451548,58231.058229166665,2018.307008847032,58231.063726851855,2018.307023909183,58231.08201388889,2018.3070740106546,58231.06481481482,2018.3070268899037,58231.084965277776,2018.3070820966514,58231.06818287037,2018.307036117453
HYDRA_0016,HYDRA-0016,HYDRA_0016,58520.22723379629,2019.0992526953323,58520.24271990741,2019.099295123034,58520.24659722222,2019.0993057458143,58520.25074074074,2019.0993170979198,58520.25305555556,2019.0993234398782,58520.26081018519,2019.0993446854388,58520.256574074076,2019.099333079655,58520.262708333335,2019.0993498858447,58520.27908564815,2019.0993947552004,58520.26660879629,2019.0993605720446,58520.28570601852,2019.0994128932014,58520.26877314815,2019.0993665017756
HYDRA_0017,HYDRA-0017,HYDRA_0017,58259.083136574074,2018.3837894152714,58259.095729166664,2018.3838239155252,58259.10444444444,2018.3838477929985,58259.108078703706,2018.3838577498732,58259.10927083333,2018.3838610159817,58259.11792824074,2018.3838847349061,58259.114120370374,2018.3838743023846,58259.12081018519,2018.3838926306444,58259.13138888889,2018.3839216133943,58259.12287037037,2018.3838982749874,58259.140497685185,2018.3839465690005,58259.12744212963,2018.3839108003551
HYDRA_0018,HYDRA-0018,HYDRA_0018,58538.19704861111,2019.148485064688,58538.21261574074,2019.1485277143581,58538.2181712963,2019.1485429350585,58538.22173611111,2019.1485527016744,58538.22530092593,2019.1485624682903,58538.23099537037,2019.148578069508,58538.22893518519,2019.148572425165,58527.294490740744,2019.1186150431254,58527.31371527778,2019.1186677130897,58527.2984375,2019.1186258561643,58527.31521990741,2019.1186718353626,58527.30195601852,2019.1186354959411
HYDRA_0019,HYDRA-0019,HYDRA_0019,58519.30030092593,2019.0967131532218,58519.312430555554,2019.0967463850836,58519.316157407404,2019.0967565956366,58519.31916666667,2019.0967648401827,58519.32277777778,2019.0967747336379,58519.33142361111,2019.0967984208523,58519.32638888889,2019.0967846270928,58519.33424768518,2019.0968061580415,58519.34496527778,2019.096835521309,58519.33550925926,2019.096809614409,58519.357037037036,2019.096868594622,58519.34103009259,2019.0968247399796
HYDRA_0020,HYDRA-0020,HYDRA_0020,58230.03094907408,2018.304194381025,58230.037314814814,2018.3042118214105,58230.045439814814,2018.3042340816844,58230.05280092593,2018.304254249112,58230.05641203704,2018.3042641425673,58230.06177083333,2018.304278824201,58230.05880787037,2018.3042707064942,58230.06361111111,2018.3042838660579,58230.07991898148,2018.3043285451547,58230.06655092593,2018.304291920345,58230.08666666667,2018.3043470319635,58230.06980324074,2018.3043008307966
