FIELD,CALIB,ZP_U,ZP_F378,ZP_F395,ZP_F410,ZP_F430,ZP_G,ZP_F515,ZP_R,ZP_F660,ZP_I,ZP_F861,ZP_Z
HYDRA-0011,Calibration_XPSP_GAIA3,19.891,19.3034,19.3345,20.361,20.5462,22.7765,20.7336,22.7077,20.2089,22.491,20.7437,21.904
HYDRA-0011,Calibration_XPSP,19.8973,19.3034,19.3345,20.361,20.5462,22.7765,20.7336,22.7077,20.2089,22.491,20.7437,21.904
HYDRA-0011,Calibration_iDR5_3_Main,19.8935,19.3059,19.337,20.3635,20.5487,22.779,20.7361,22.7102,20.2114,22.4935,20.7462,21.9065
HYDRA-0021,Calibration_iDR5_3_Main,19.9901,19.3842,19.4598,20.4786,20.6586,22.8881,20.8067,22.7649,20.2491,22.5217,20.7873,21.9377
HYDRA-0031,Calibration_iDR5_3_Main,20.0074,19.3972,19.4706,20.4933,20.6865,22.8997,20.8179,22.7762,20.2617,22.534,20.7996,21.9547
HYDRA-0035,Calibration_XPSP_GAIA3,19.9973,19.3876,19.4163,20.4191,20.5888,22.8348,20.7607,22.7434,20.2368,22.5024,20.7724,21.8937
HYDRA-0035,Calibration_XPSP,20.00713,19.38693,19.41563,20.41843,20.58813,22.83413,20.76003,22.74273,20.23613,22.50173,20.77173,21.89303
HYDRA-0035,Calibration_iDR5_3_Main,20.0004,19.3907,19.4194,20.4222,20.5919,22.8379,20.7638,22.7465,20.2399,22.5055,20.7755,21.8968
HYDRA-0036,Calibration_iDR5_3_Main,19.8771,19.2397,19.257,20.2426,20.4002,22.7467,20.611,22.7219,20.1923,22.5058,20.7546,21.8993
HYDRA-0037,Calibration_XPSP_GAIA3,19.96757,19.36117,19.39037,20.40147,20.57667,22.83377,20.76207,22.74177,20.23407,22.50347,20.77207,21.89807
HYDRA-0037,Calibration_XPSP,19.97627,19.36127,19.39047,20.40157,20.57677,22.83387,20.76217,22.74187,20.23417,22.50357,20.77217,21.89817
HYDRA-0037,Calibration_iDR5_3_Main,19.9698,19.3634,19.3926,20.4037,20.5789,22.836,20.7643,22.744,20.2363,22.5057,20.7743,21.9003
HYDRA-0039,Calibration_XPSP_GAIA3,19.9825,19.3694,19.4102,20.4175,20.6051,22.8582,20.773,22.7515,20.2437,22.5132,20.7774,21.9184
HYDRA-0039,Calibration_XPSP,19.98573,19.37013,19.41093,20.41823,20.60583,22.85893,20.77373,22.75223,20.24443,22.51393,20.77813,21.91913
HYDRA-0039,Calibration_iDR5_3_Main,19.986,19.3729,19.4137,20.421,20.6086,22.8617,20.7765,22.755,20.2472,22.5167,20.7809,21.9219
HYDRA-0041,Calibration_iDR5_3_Main,19.9995,19.3978,19.4386,20.453,20.6342,22.8724,20.7963,22.7544,20.2478,22.516,20.784,21.9217
HYDRA-0044,Calibration_iDR5_3_Main,19.9266,19.3687,19.4053,20.4082,20.5713,22.8066,20.761,22.7494,20.27,22.519,20.7994,21.9139
HYDRA-0045,Calibration_iDR5_3_Main,20.0886,19.4722,19.4893,20.4696,20.631,22.9012,20.7991,22.7934,20.2747,22.5484,20.8,21.9456
HYDRA-0048,Calibration_iDR5_3_Main,19.9751,19.3448,19.392,20.4198,20.6099,22.8683,20.7755,22.7554,20.2416,22.5243,20.7868,21.9375
HYDRA-0050,Calibration_iDR5_3_Main,19.9337,19.3357,19.3974,20.4204,20.605,22.8395,20.7678,22.7281,20.2186,22.4689,20.7652,21.8368
HYDRA-0052,Calibration_iDR5_3_Main,20.0118,19.4035,19.4396,20.4657,20.6478,22.8827,20.7988,22.7619,20.2532,22.5262,20.7955,21.9395
HYDRA-0053,Calibration_XPSP_GAIA3,20.1319,19.5222,19.5394,20.5399,20.6961,22.927,20.8454,22.809,20.2954,22.5669,20.8163,21.9825
HYDRA-0053,Calibration_XPSP,20.1404,19.5217,19.5389,20.5394,20.6956,22.9265,20.8449,22.8085,20.2949,22.5664,20.8158,21.982
HYDRA-0053,Calibration_iDR5_3_Main,20.1352,19.5255,19.5427,20.5432,20.6994,22.9303,20.8487,22.8123,20.2987,22.5702,20.8196,21.9858
HYDRA-0055,Calibration_XPSP_GAIA3,20.11213,19.51013,19.51673,20.52593,20.67143,22.90983,20.81813,22.75443,20.28873,22.54623,20.79923,21.94403
HYDRA-0055,Calibration_XPSP,20.11743,19.51013,19.51673,20.52593,20.67143,22.90983,20.81813,22.75443,20.28873,22.54623,20.79923,21.94403
HYDRA-0055,Calibration_iDR5_3_Main,20.1143,19.5123,19.5189,20.5281,20.6736,22.912,20.8203,22.7566,20.2909,22.5484,20.8014,21.9462
HYDRA-0056,Calibration_XPSP_GAIA3,20.00863,19.38523,19.47553,20.48613,20.68403,22.89893,20.81783,22.77163,20.26013,22.53113,20.79613,21.95043
HYDRA-0056,Calibration_XPSP,20.01477,19.38597,19.47627,20.48687,20.68477,22.89967,20.81857,22.77237,20.26087,22.53187,20.79687,21.95117
HYDRA-0056,Calibration_iDR5_3_Main,20.0118,19.3884,19.4787,20.4893,20.6872,22.9021,20.821,22.7748,20.2633,22.5343,20.7993,21.9536
HYDRA-0061,Calibration_XPSP_GAIA3,19.9582,19.3515,19.4028,20.4388,20.6152,22.8405,20.7757,22.745,20.2398,22.512,20.7816,21.9285
HYDRA-0061,Calibration_XPSP,19.97163,19.35103,19.40233,20.43833,20.61473,22.84003,20.77523,22.74453,20.23933,22.51153,20.78113,21.92803
HYDRA-0061,Calibration_iDR5_3_Main,19.9617,19.355,19.4063,20.4423,20.6187,22.844,20.7792,22.7485,20.2433,22.5155,20.7851,21.932
HYDRA-0062,Calibration_iDR5_3_Main,20.6684,19.5101,19.5437,20.5311,20.6839,22.9153,20.8266,22.8047,20.3034,23.3414,20.8174,22.769
HYDRA-0064,Calibration_XPSP_GAIA3,19.89597,19.26497,19.33667,20.37377,20.50337,22.77707,20.69227,22.71257,20.20327,22.47637,20.74877,21.87767
HYDRA-0064,Calibration_XPSP,19.90817,19.26447,19.33617,20.37327,20.50287,22.77657,20.69177,22.71207,20.20277,22.47587,20.74827,21.87717
HYDRA-0064,Calibration_iDR5_3_Main,19.8994,19.2684,19.3401,20.3772,20.5068,22.7805,20.6957,22.716,20.2067,22.4798,20.7522,21.8811
HYDRA-0069,Calibration_XPSP_GAIA3,19.96733,19.35833,19.39593,20.40483,20.58783,22.84623,20.75373,22.74773,20.23123,22.51183,20.77853,21.92073
HYDRA-0069,Calibration_XPSP,19.98003,19.35733,19.39493,20.40383,20.58683,22.84523,20.75273,22.74673,20.23023,22.51083,20.77753,21.91973
HYDRA-0069,Calibration_iDR5_3_Main,19.9713,19.3623,19.3999,20.4088,20.5918,22.8502,20.7577,22.7517,20.2352,22.5158,20.7825,21.9247
HYDRA-0070,Calibration_XPSP_GAIA3,19.98013,19.38403,19.43103,20.42383,20.60503,22.84133,20.75543,22.73313,20.22973,22.48613,20.75683,21.86653
HYDRA-0070,Calibration_XPSP,19.99483,19.38353,19.43053,20.42333,20.60453,22.84083,20.75493,22.73263,20.22923,22.48563,20.75633,21.86603
HYDRA-0070,Calibration_iDR5_3_Main,19.9843,19.3882,19.4352,20.428,20.6092,22.8455,20.7596,22.7373,20.2339,22.4903,20.761,21.8707
HYDRA-0075,Calibration_iDR5_3_Main,20.7459,20.1082,20.1229,21.0846,21.2239,22.8056,20.741,22.684,20.2119,22.2912,20.7703,21.9065
HYDRA-0077,Calibration_XPSP_GAIA3,19.85117,19.29077,19.38307,20.39407,20.58687,22.80277,20.74987,22.70697,20.20877,22.44977,20.75447,21.81747
HYDRA-0077,Calibration_XPSP,19.86503,19.29033,19.38263,20.39363,20.58643,22.80233,20.74943,22.70653,20.20833,22.44933,20.75403,21.81703
HYDRA-0077,Calibration_iDR5_3_Main,19.8547,19.2943,19.3866,20.3976,20.5904,22.8063,20.7534,22.7105,20.2123,22.4533,20.758,21.821
HYDRA-0084,Calibration_iDR5_3_Main,20.0881,19.4703,19.5008,20.487,20.6532,22.9088,20.8118,22.7983,20.2828,22.5615,20.8151,21.9763
HYDRA-0085,Calibration_iDR5_3_Main,19.856,19.2259,19.9976,20.9418,21.0826,22.7348,21.3287,22.6977,20.9802,22.4691,21.5825,21.8679
HYDRA-0086,Calibration_XPSP_GAIA3,19.83053,19.28203,19.36513,20.38013,20.57143,22.78403,20.74983,22.70423,20.22443,22.48203,20.77203,21.89953
HYDRA-0086,Calibration_XPSP,19.84717,19.28117,19.36427,20.37927,20.57057,22.78317,20.74897,22.70337,20.22357,22.48117,20.77117,21.89867
HYDRA-0086,Calibration_iDR5_3_Main,19.8339,19.2854,19.3685,20.3835,20.5748,22.7874,20.7532,22.7076,20.2278,22.4854,20.7754,21.9029
HYDRA-0093,Calibration_XPSP_GAIA3,19.9514,19.3166,19.3556,20.3548,20.5298,22.8214,20.7276,22.746,20.226,22.5098,20.7758,21.8998
HYDRA-0093,Calibration_XPSP,19.957,19.3168,19.3558,20.355,20.53,22.8216,20.7278,22.7462,20.2262,22.51,20.776,21.9
HYDRA-0093,Calibration_iDR5_3_Main,19.9545,19.3197,19.3587,20.3579,20.5329,22.8245,20.7307,22.7491,20.2291,22.5129,20.7789,21.9029
HYDRA-0095,Calibration_XPSP_GAIA3,18.9708,18.6489,18.7853,19.8194,20.0432,21.9335,20.2748,21.9062,19.9002,21.7147,20.5185,21.149
HYDRA-0095,Calibration_XPSP,18.99087,18.64787,18.78427,19.81837,20.04217,21.93247,20.27377,21.90517,19.89917,21.71367,20.51747,21.14797
HYDRA-0095,Calibration_iDR5_3_Main,18.9745,18.6526,18.789,19.8231,20.0469,21.9372,20.2785,21.9099,19.9039,21.7184,20.5222,21.1527
HYDRA-0096,Calibration_iDR5_3_Main,20.1082,19.5118,19.5479,20.5311,20.6908,22.9127,20.8382,22.8048,20.3018,22.5612,20.821,21.969
HYDRA-0102,Calibration_XPSP_GAIA3,19.94207,19.33347,19.37597,20.38387,20.56337,22.81137,20.74297,22.71987,20.21777,22.47547,20.75577,21.85987
HYDRA-0102,Calibration_XPSP,19.9476,19.3338,19.3763,20.3842,20.5637,22.8117,20.7433,22.7202,20.2181,22.4758,20.7561,21.8602
