FIELD,CALIB,ZP_U,ZP_F378,ZP_F395,ZP_F410,ZP_F430,ZP_G,ZP_F515,ZP_R,ZP_F660,ZP_I,ZP_F861,ZP_Z
MC0001,Calibration_iDR5_3_PSF,22.3354,21.75,21.1768,21.4591,21.6146,23.2137,21.8186,23.2898,22.923,23.2056,22.0741,22.8029
MC0002,Calibration_iDR5_3_PSF,23.2583,22.6048,21.9637,22.1207,22.2237,23.9429,22.5489,24.1669,23.7924,24.0522,22.9334,23.6477
MC0003,Calibration_iDR5_3_PSF,22.3407,21.7486,21.1641,21.4535,21.6057,23.1788,21.8224,23.2661,22.905,23.1986,22.0573,22.7715
MC0004,Calibration_iDR5_3_PSF,23.0113,21.7549,21.1615,21.4457,21.6023,23.2321,21.8221,23.3002,23.7312,23.2245,22.8355,23.5486
MC0005,Calibration_iDR5_3_PSF,22.3793,21.6931,21.0458,21.3078,21.4464,23.2346,21.7334,23.3035,22.9455,23.2289,22.0985,22.8841
MC0006,Calibration_iDR5_3_PSF,22.3683,21.7933,21.2021,21.4921,21.6346,23.2571,21.8545,23.3156,22.9393,23.2312,22.0825,22.8494
MC0007,Calibration_iDR5_3_PSF,22.3389,21.6774,21.071,21.3387,21.4886,23.2169,21.7478,23.2867,22.9383,23.1984,22.09,22.8185
MC0008,Calibration_iDR5_3_PSF,22.3812,21.6763,21.0533,21.303,21.4404,23.2349,21.7171,23.3004,22.9444,23.2256,22.0891,22.8726
MC0009,Calibration_iDR5_3_PSF,22.389,21.7646,21.1749,21.4463,21.603,23.2442,21.814,23.3133,22.9541,23.2172,22.1062,22.8883
MC0010,Calibration_iDR5_3_PSF,22.3772,21.7507,21.1661,21.4612,21.6197,23.2485,21.8192,23.3117,22.9448,23.234,22.0967,22.874
MC0011,Calibration_iDR5_3_PSF,22.3881,21.7553,21.1748,21.4519,21.6048,23.248,21.8155,23.3082,22.9535,23.2215,22.0958,22.8554
MC0012,Calibration_iDR5_3_PSF,22.3233,21.7048,21.1325,21.4253,21.5736,23.1922,21.7801,23.2662,22.9199,23.177,22.0656,22.7862
MC0013,Calibration_iDR5_3_PSF,22.3597,21.7715,21.187,21.4747,21.6317,23.2327,21.8396,23.307,22.9405,23.2215,22.0825,22.8136
MC0014,Calibration_iDR5_3_PSF,22.3934,21.7173,21.1273,21.4289,21.5879,23.2526,21.7982,23.3168,22.9524,23.233,22.0933,22.8625
MC0015,Calibration_iDR5_3_PSF,22.3187,21.7175,21.1118,21.4049,21.5543,23.1998,21.7825,23.2661,22.9183,23.1793,22.0616,22.7861
MC0016,Calibration_iDR5_3_PSF,22.3453,21.6893,21.0879,21.3946,21.5467,23.2443,21.7791,23.2919,22.9482,23.2029,22.0888,22.8255
MC0017,Calibration_iDR5_3_PSF,23.1052,22.4643,21.81,22.0282,22.1308,23.189,21.7315,23.2501,22.9187,23.1689,22.0685,22.797
MC0018,Calibration_iDR5_3_PSF,22.2899,21.6369,21.0389,21.3153,21.4795,23.1728,21.7294,23.2568,22.9137,23.1795,22.0616,22.7968
MC0019,Calibration_iDR5_3_PSF,22.2958,21.6974,21.1176,21.3712,21.415,23.1862,21.2549,23.2807,22.9308,23.1974,22.0788,22.8148
MC0020,Calibration_iDR5_3_PSF,22.3671,21.7039,21.1144,21.3977,21.5486,23.2164,21.7766,23.2932,22.9429,23.2171,22.0911,22.8529
MC0021,Calibration_iDR5_3_PSF,22.3819,21.7061,21.1293,21.4247,21.5854,23.2649,21.7979,23.3164,22.9636,23.2311,22.1063,22.8804
MC0022,Calibration_iDR5_3_PSF,22.3798,21.7289,21.0855,21.437,21.5763,23.2572,21.8155,23.3211,22.9632,23.2348,22.104,22.8837
MC0023,Calibration_iDR5_3_PSF,22.334,21.7123,21.0796,21.4071,21.5677,23.2037,21.8077,23.2829,22.9387,23.1926,22.0768,22.8087
MC0024,Calibration_iDR5_3_PSF,22.3181,21.7754,21.127,21.4811,21.6201,23.2369,21.8434,23.3162,22.9219,23.2312,22.0645,22.7934
