FIELD,PHOT,aper_corr_dual_U,aper_corr_dual_F378,aper_corr_dual_F395,aper_corr_dual_F410,aper_corr_dual_F430,aper_corr_dual_G,aper_corr_dual_F515,aper_corr_dual_R,aper_corr_dual_F660,aper_corr_dual_I,aper_corr_dual_F861,aper_corr_dual_Z
MC0001,dual,-0.79352,-0.37602,-0.3388,-0.32153,-0.31689,-0.36802,-0.30049,-0.32646,-0.63693,-0.32735,-0.55543,-0.61489
MC0002,dual,-0.40133,-0.37688,-0.35257,-0.34081,-0.32832,-0.30689,-0.29174,-0.25701,-0.2922,-0.24504,-0.26807,-0.2717
MC0003,dual,-0.60178,-0.44615,-0.44306,-0.44907,-0.4689,-0.49699,-0.45982,-0.40176,-0.43953,-0.36724,-0.35153,-0.40991
MC0009,dual,-0.45549,-0.42793,-0.43454,-0.42507,-0.42722,-0.36632,-0.35247,-0.30502,-0.3621,-0.27074,-0.31445,-0.36117
MC0010,dual,-0.41765,-0.43062,-0.40082,-0.40025,-0.38783,-0.33923,-0.35272,-0.27346,-0.28487,-0.24812,-0.25711,-0.27565
MC0011,dual,-0.45518,-0.40413,-0.35862,-0.32708,-0.35403,-0.42847,-0.30769,-0.35081,-0.40021,-0.33873,-0.2989,-0.32412
MC0012,dual,-0.49137,-0.58408,-0.68683,-0.83449,-0.68695,-0.44978,-0.5311,-0.36244,-0.27289,-0.29999,-0.25184,-0.25918
MC0019,dual,-0.45077,-0.34109,-0.32677,-0.31476,-0.28815,-0.31081,-0.2833,-0.26425,-0.28882,-0.24258,-0.30862,-0.27975
MC0020,dual,-0.45051,-0.49717,-0.45708,-0.42731,-0.43679,-0.38029,-0.37522,-0.32518,-0.27496,-0.28964,-0.26549,-0.27744
MC0028,dual,-0.54346,-0.4849,-0.45502,-0.44981,-0.41455,-0.34723,-0.33528,-0.27505,-0.30883,-0.26285,-0.29413,-0.27889
MC0036,dual,-0.68246,-0.58703,-0.48974,-0.47843,-0.4528,-0.49815,-0.42932,-0.4345,-0.31012,-0.35826,-0.28744,-0.32569
MC0044,dual,-0.66648,-0.47021,-0.45123,-0.50135,-0.4679,-0.39829,-0.42929,-0.36049,-0.51902,-0.30506,-0.40714,-0.40135
MC0045,dual,-0.52535,-0.44282,-0.4959,-0.66871,-0.60273,-0.50671,-0.52928,-0.48231,-0.51883,-0.40492,-0.44573,-0.41665
MC0046,dual,-0.56281,-0.47672,-0.48069,-0.5825,-0.58759,-0.54274,-0.50881,-0.42767,-0.42112,-0.34863,-0.35893,-0.34624
MC0047,dual,-0.55034,-0.5017,-0.49661,-0.53879,-0.52732,-0.45602,-0.42782,-0.38679,-0.43029,-0.333,-0.48638,-0.36329
MC0048,dual,-0.49483,-0.51184,-0.42551,-0.41507,-0.41853,-0.40571,-0.36528,-0.33012,-0.50703,-0.45357,-0.36754,-0.44807
MC0049,dual,-0.58066,-0.40148,-0.40645,-0.3895,-0.37519,-0.37518,-0.34985,-0.34025,-0.32442,-0.29031,-0.3075,-0.33665
MC0050,dual,-0.51558,-0.37742,-0.33015,-0.30885,-0.31677,-0.36316,-0.29696,-0.30748,-0.36483,-0.2603,-0.34304,-0.33293
MC0051,dual,-0.63479,-0.43583,-0.39835,-0.39318,-0.38816,-0.3602,-0.34499,-0.29981,-0.28389,-0.26509,-0.28287,-0.28837
MC0052,dual,-0.42996,-0.37893,-0.35021,-0.33602,-0.29857,-0.31314,-0.25714,-0.25507,-0.29169,-0.24527,-0.28652,-0.28609
MC0053,dual,-0.43542,-0.40944,-0.41555,-0.41749,-0.40497,-0.39349,-0.37723,-0.32105,-0.31076,-0.28779,-0.27662,-0.31398
