FIELD,PHOT,aper_corr_single_U,aper_corr_single_F378,aper_corr_single_F395,aper_corr_single_F410,aper_corr_single_F430,aper_corr_single_G,aper_corr_single_F515,aper_corr_single_R,aper_corr_single_F660,aper_corr_single_I,aper_corr_single_F861,aper_corr_single_Z
MC0001,single,-0.7975,-0.37139,-0.33673,-0.32133,-0.31496,-0.36854,-0.29828,-0.32598,-0.63484,-0.32589,-0.54842,-0.61052
MC0002,single,-0.38059,-0.34635,-0.3414,-0.33659,-0.32542,-0.30631,-0.28874,-0.25529,-0.28794,-0.24241,-0.26341,-0.26848
MC0003,single,-0.59794,-0.43208,-0.4292,-0.44263,-0.4576,-0.49758,-0.44856,-0.40124,-0.43892,-0.36541,-0.34708,-0.40264
MC0009,single,-0.46923,-0.41662,-0.42676,-0.42966,-0.43018,-0.38291,-0.35994,-0.31103,-0.37397,-0.27374,-0.31788,-0.36558
MC0010,single,-0.41629,-0.42548,-0.39709,-0.39206,-0.38414,-0.34622,-0.35191,-0.2771,-0.28692,-0.24775,-0.2564,-0.27563
MC0011,single,-0.45127,-0.39787,-0.35755,-0.32213,-0.34897,-0.42905,-0.30399,-0.35122,-0.39912,-0.33639,-0.29539,-0.32023
MC0012,single,-0.48269,-0.57905,-0.67534,-0.81834,-0.6829,-0.45365,-0.53216,-0.36355,-0.27266,-0.30024,-0.24896,-0.25533
MC0019,single,-0.45274,-0.335,-0.32033,-0.30835,-0.2825,-0.3232,-0.27953,-0.27149,-0.29718,-0.24893,-0.30754,-0.28303
MC0020,single,-0.46155,-0.49914,-0.43689,-0.42412,-0.43281,-0.38843,-0.37417,-0.32864,-0.27884,-0.2932,-0.26797,-0.28361
MC0028,single,-0.52681,-0.44453,-0.42947,-0.43565,-0.41111,-0.36175,-0.32987,-0.28162,-0.31225,-0.27711,-0.29683,-0.28409
MC0036,single,-0.67271,-0.58198,-0.49047,-0.47556,-0.44697,-0.51826,-0.43311,-0.44982,-0.31656,-0.37146,-0.28949,-0.33648
MC0044,single,-0.66756,-0.46665,-0.45062,-0.50387,-0.46311,-0.42776,-0.42809,-0.37228,-0.54848,-0.31928,-0.4174,-0.41146
MC0045,single,-0.50408,-0.41912,-0.4901,-0.6616,-0.59862,-0.50612,-0.52549,-0.48169,-0.51293,-0.40366,-0.44023,-0.41477
MC0046,single,-0.54085,-0.42358,-0.46504,-0.57498,-0.58085,-0.54144,-0.50467,-0.42616,-0.41768,-0.3451,-0.35405,-0.33963
MC0047,single,-0.5353,-0.07961,-0.08683,-0.52452,-0.51509,-0.45554,-0.42473,-0.38636,-0.42782,-0.33139,-0.48345,-0.35982
MC0048,single,-0.48489,-0.49027,-0.40973,-0.41003,-0.41315,-0.40424,-0.36489,-0.32667,-0.50374,-0.45289,-0.36271,-0.44569
MC0049,single,-0.57245,-0.40206,-0.40953,-0.39097,-0.37434,-0.37737,-0.3449,-0.34138,-0.32212,-0.28854,-0.30335,-0.33261
MC0050,single,-0.5075,-0.37169,-0.32119,-0.30344,-0.31116,-0.36362,-0.29355,-0.30738,-0.36332,-0.25763,-0.33753,-0.32868
MC0051,single,-0.62109,-0.1187,-0.36474,-0.3841,-0.38426,-0.35771,-0.34268,-0.29874,-0.28051,-0.263,-0.27895,-0.28588
MC0052,single,-0.4203,-0.36877,-0.34836,-0.33111,-0.29377,-0.31163,-0.25344,-0.25396,-0.28991,-0.2423,-0.28256,-0.283
MC0053,single,-0.29964,-0.09814,-0.34242,-0.40438,-0.39868,-0.3927,-0.37437,-0.31971,-0.30604,-0.28417,-0.27199,-0.30858
MC0054,single,-0.71807,-0.71744,-0.68308,-0.70913,-0.66542,-0.538,-0.53251,-0.45751,-0.49401,-0.41581,-0.5199,-0.43393
MC0055,single,-0.10898,-0.04995,-0.09162,-0.43746,-0.42894,-0.38846,-0.37883,-0.32909,-0.31766,-0.27858,-0.28638,-0.30756
MC0056,single,-0.37593,-0.13059,-0.49648,-0.45289,-0.47522,-0.37875,-0.40419,-0.29346,-0.26254,-0.24763,-0.2261,-0.27204
MC0057,single,-0.39986,-0.1287,-0.34638,-0.38947,-0.36744,-0.3412,-0.32211,-0.29382,-0.29597,-0.26763,-0.26942,-0.28964
MC0058,single,-0.3904,-0.37153,-0.38744,-0.36554,-0.33293,-0.39387,-0.34574,-0.3181,-0.33491,-0.32505,-0.32123,-0.33067
MC0059,single,-0.4223,-0.17163,-0.39975,-0.3856,-0.35879,-0.32278,-0.31509,-0.28488,-0.24465,-0.25552,-0.21887,-0.28021
MC0060,single,-0.57076,-0.56032,-0.55138,-0.47459,-0.46124,-0.40549,-0.41617,-0.37685,-0.37275,-0.31782,-0.29777,-0.3131
MC0061,single,-0.49652,-0.47303,-0.46045,-0.41818,-0.38364,-0.41616,-0.40902,-0.35579,-0.36403,-0.30747,-0.30185,-0.30704
