FIELD,CALIB,ZP_GAIA3_BP,ZP_GAIA3_G,ZP_GAIA3_RP
HYDRA-0011,Calibration_XPSP_GAIA3,0.004,0.002,0.0015
HYDRA-0011,Calibration_XPSP,0.0059,0.0019,-0.0003
HYDRA-0011,Calibration_iDR5_3_Main,0.004,0.002,0.0015
HYDRA-0021,Calibration_iDR5_3_Main,0.002,0.0012,0.0013
HYDRA-0031,Calibration_iDR5_3_Main,0.0049,0.0023,0.0012
HYDRA-0035,Calibration_XPSP_GAIA3,0.0037,0.0036,0.002
HYDRA-0035,Calibration_XPSP,0.0073,0.0042,-0.0002
HYDRA-0035,Calibration_iDR5_3_Main,0.0037,0.0036,0.002
HYDRA-0036,Calibration_iDR5_3_Main,0.0031,0.0036,0.0019
HYDRA-0037,Calibration_XPSP_GAIA3,0.0031,0.0027,0.0009
HYDRA-0037,Calibration_XPSP,0.0047,0.0026,-0.0009
HYDRA-0037,Calibration_iDR5_3_Main,0.0031,0.0027,0.0009
HYDRA-0039,Calibration_XPSP_GAIA3,0.0063,0.0036,0.0006
HYDRA-0039,Calibration_XPSP,0.0066,0.003,-0.0013
HYDRA-0039,Calibration_iDR5_3_Main,0.0063,0.0036,0.0006
HYDRA-0041,Calibration_iDR5_3_Main,0.0043,0.0024,0.0013
HYDRA-0044,Calibration_iDR5_3_Main,0.0045,0.004,0.0019
HYDRA-0045,Calibration_iDR5_3_Main,0.0047,0.0032,0.0021
HYDRA-0048,Calibration_iDR5_3_Main,0.0041,0.0032,0.002
HYDRA-0050,Calibration_iDR5_3_Main,0.0044,0.002,0.0014
HYDRA-0052,Calibration_iDR5_3_Main,0.0047,0.0031,0.0013
HYDRA-0053,Calibration_XPSP_GAIA3,0.0038,0.0037,0.0024
HYDRA-0053,Calibration_XPSP,0.0065,0.0041,0.0008
HYDRA-0053,Calibration_iDR5_3_Main,0.0038,0.0037,0.0024
HYDRA-0055,Calibration_XPSP_GAIA3,0.002,0.0026,0.0019
