FIELD,CALIB,ZP_GAIA3_BP,ZP_GAIA3_G,ZP_GAIA3_RP
MC0001,Calibration_iDR5_3_PSF,0.0024,0.0017,0.0001
MC0002,Calibration_iDR5_3_PSF,0.0011,0.0028,0.0002
MC0003,Calibration_iDR5_3_PSF,0.0074,0.0053,0.0025
MC0004,Calibration_iDR5_3_PSF,0.0032,0.0034,0.0034
MC0005,Calibration_iDR5_3_PSF,0.0052,0.0033,0.0023
MC0006,Calibration_iDR5_3_PSF,0.0049,0.0028,0.0032
MC0007,Calibration_iDR5_3_PSF,0.0056,0.0032,0.0026
MC0008,Calibration_iDR5_3_PSF,0.0037,0.0023,0.0016
MC0009,Calibration_iDR5_3_PSF,0.0018,0.0019,0.0012
MC0010,Calibration_iDR5_3_PSF,0.0008,0.0021,0.0022
MC0011,Calibration_iDR5_3_PSF,0.0032,0.0031,0.0011
MC0012,Calibration_iDR5_3_PSF,0.0035,0.0031,0.0017
MC0013,Calibration_iDR5_3_PSF,0.0054,0.0039,0.0016
MC0014,Calibration_iDR5_3_PSF,0.0052,0.0022,0.0019
MC0015,Calibration_iDR5_3_PSF,0.0049,0.0011,0.0015
MC0016,Calibration_iDR5_3_PSF,0.0063,0.002,0.0024
MC0017,Calibration_iDR5_3_PSF,0.0063,0.0029,0.0027
MC0018,Calibration_iDR5_3_PSF,0.0052,0.0028,0.0015
MC0019,Calibration_iDR5_3_PSF,0.0047,0.0029,0.0015
MC0020,Calibration_iDR5_3_PSF,0.0024,0.0024,0.0015
MC0021,Calibration_iDR5_3_PSF,0.0077,0.0065,0.0042
MC0022,Calibration_iDR5_3_PSF,-0.0009,-0.0008,0.0026
MC0023,Calibration_iDR5_3_PSF,0.0025,-0.0003,0.0043
MC0024,Calibration_iDR5_3_PSF,-0.0063,-0.0045,0.0051
MC0025,Calibration_iDR5_3_PSF,-0.0008,0.0001,0.0025
MC0026,Calibration_iDR5_3_PSF,0.0061,0.0015,0.0009
MC0027,Calibration_iDR5_3_PSF,0.0073,0.0035,0.0015
MC0028,Calibration_iDR5_3_PSF,0.004,0.0034,0.0019
MC0029,Calibration_iDR5_3_PSF,0.0087,0.006,0.0042
MC0030,Calibration_iDR5_3_PSF,-0.0065,-0.0064,0.0048
MC0031,Calibration_iDR5_3_PSF,-0.0031,-0.005,0.0033
MC0032,Calibration_iDR5_3_PSF,-0.0109,-0.0105,0.0051
MC0033,Calibration_iDR5_3_PSF,-0.0081,-0.0221,-0.0092
MC0034,Calibration_iDR5_3_PSF,-0.004,-0.0041,0.0013
MC0035,Calibration_iDR5_3_PSF,0.0087,0.0039,0.0018
MC0036,Calibration_iDR5_3_PSF,0.0069,0.0044,0.0016
MC0037,Calibration_iDR5_3_PSF,0.0057,0.0033,0.0045
MC0038,Calibration_iDR5_3_PSF,0.002,-0.0067,0.0104
