Field,ZP_gaiascale
STRIPE82-0001,0.011
STRIPE82-0002,0.023
STRIPE82-0003,0.019
STRIPE82-0004,0.01
STRIPE82-0005,0.009
STRIPE82-0006,0.019
STRIPE82-0007,0.012
STRIPE82-0008,0.028
STRIPE82-0009,0.019
STRIPE82-0010,0.025
STRIPE82-0011,0.019
STRIPE82-0012,0.02
STRIPE82-0013,0.019
STRIPE82-0014,0.017
STRIPE82-0015,0.018
STRIPE82-0016,0.01
STRIPE82-0017,0.015
STRIPE82-0018,0.018
STRIPE82-0019,0.017
STRIPE82-0020,0.017
STRIPE82-0021,0.019
STRIPE82-0022,0.014
STRIPE82-0023,0.015
STRIPE82-0024,0.017
STRIPE82-0025,0.011
STRIPE82-0026,0.026
STRIPE82-0027,0.016
STRIPE82-0028,0.025
STRIPE82-0029,0.013
STRIPE82-0030,0.03
STRIPE82-0031,0.016
STRIPE82-0032,0.022
STRIPE82-0033,0.018
STRIPE82-0034,0.015
STRIPE82-0035,0.019
STRIPE82-0036,0.01
STRIPE82-0037,0.016
STRIPE82-0038,0.013
STRIPE82-0039,0.017
STRIPE82-0040,0.019
STRIPE82-0041,0.018
STRIPE82-0042,0.026
STRIPE82-0043,0.016
STRIPE82-0044,0.031
STRIPE82-0045,0.014
STRIPE82-0046,0.019
STRIPE82-0047,0.015
STRIPE82-0048,0.009
STRIPE82-0049,0.016
STRIPE82-0050,0.026
STRIPE82-0051,0.019
STRIPE82-0052,0.02
STRIPE82-0053,0.018
STRIPE82-0054,0.029
STRIPE82-0055,0.016
STRIPE82-0056,0.021
STRIPE82-0057,0.016
STRIPE82-0058,0.027
STRIPE82-0059,0.015
STRIPE82-0060,0.027
STRIPE82-0061,0.014
STRIPE82-0062,0.013
STRIPE82-0063,0.01
STRIPE82-0064,0.008
STRIPE82-0065,0.001
STRIPE82-0066,0.016
STRIPE82-0067,0.006
STRIPE82-0068,0.02
STRIPE82-0069,0.011
STRIPE82-0070,0.017
STRIPE82-0071,0.011
STRIPE82-0072,0.016
STRIPE82-0073,0.008
STRIPE82-0074,0.011
STRIPE82-0075,0.003
