iDR5_Field_Name,Field_1,NAME,FIELD_2,CALIB,ZP_GAIA3_BP,ZP_GAIA3_G,ZP_GAIA3_RP,ZP_GAIA3
HYDRA-0011,HYDRA-0011,HYDRA_0011,HYDRA-0011,Calibration_iDR5_3_Main,0.004,0.002,0.0015,0.0025000002
HYDRA_0012,HYDRA-0012,HYDRA_0012,HYDRA_0012,Calibration_iDR5_3_Main,2.0E-4,-4.0E-4,-5.0E-4,-2.3333334E-4
HYDRA_0013,HYDRA-0013,HYDRA_0013,HYDRA_0013,Calibration_iDR5_3_Main,0.0023,0.0021,0.0017,0.0020333333
HYDRA_0014,HYDRA-0014,HYDRA_0014,HYDRA_0014,Calibration_iDR5_3_Main,0.0026,0.002,0.0017,0.0021
HYDRA_0015,HYDRA-0015,HYDRA_0015,HYDRA_0015,Calibration_iDR5_3_Main,0.0027,0.003,0.003,0.0029
HYDRA_0016,HYDRA-0016,HYDRA_0016,HYDRA_0016,Calibration_iDR5_3_Main,0.0029,0.0031,0.0021,0.0027
HYDRA_0017,HYDRA-0017,HYDRA_0017,HYDRA_0017,Calibration_iDR5_3_Main,0.0028,0.0025,9.0E-4,0.0020666665
HYDRA_0018,HYDRA-0018,HYDRA_0018,HYDRA_0018,Calibration_iDR5_3_Main,0.008,0.0049,-0.0019,0.0036666666
HYDRA_0019,HYDRA-0019,HYDRA_0019,HYDRA_0019,Calibration_iDR5_3_Main,0.0068,0.0024,-0.0029,0.0021000002
HYDRA_0020,HYDRA-0020,HYDRA_0020,HYDRA_0020,Calibration_iDR5_3_Main,0.007,0.0037,5.0E-4,0.0037333334
HYDRA-0021,HYDRA-0021,HYDRA_0021,HYDRA-0021,Calibration_iDR5_3_Main,0.002,0.0012,0.0013,0.0015000001
HYDRA_0022,HYDRA-0022,HYDRA_0022,HYDRA_0022,Calibration_iDR5_3_Main,0.0027,0.0019,0.0014,0.002
HYDRA_0023,HYDRA-0023,HYDRA_0023,HYDRA_0023,Calibration_iDR5_3_Main,0.0037,0.003,0.0015,0.0027333333
HYDRA_0024,HYDRA-0024,HYDRA_0024,HYDRA_0024,Calibration_iDR5_3_Main,0.0036,0.0037,0.0015,0.0029333334
HYDRA_0025,HYDRA-0025,HYDRA_0025,HYDRA_0025,Calibration_iDR5_3_Main,0.0028,0.0037,0.0026,0.0030333335
HYDRA_0026,HYDRA-0026,HYDRA_0026,HYDRA_0026,Calibration_iDR5_3_Main,0.0107,0.0075,0.0023,0.0068333335
HYDRA_0027,HYDRA-0027,HYDRA_0027,HYDRA_0027,Calibration_iDR5_3_Main,0.002,0.0023,0.0017,0.002
HYDRA_0028,HYDRA-0028,HYDRA_0028,HYDRA_0028,Calibration_iDR5_3_Main,0.0049,0.0022,6.0E-4,0.0025666666
HYDRA_0029,HYDRA-0029,HYDRA_0029,HYDRA_0029,Calibration_iDR5_3_Main,0.0052,0.0027,4.0E-4,0.0027666667
HYDRA_0030,HYDRA-0030,HYDRA_0030,HYDRA_0030,Calibration_iDR5_3_Main,0.0033,0.002,0.001,0.0021000002
HYDRA-0031,HYDRA-0031,HYDRA_0031,HYDRA-0031,Calibration_iDR5_3_Main,0.0049,0.0023,0.0012,0.0028
HYDRA_0032,HYDRA-0032,HYDRA_0032,HYDRA_0032,Calibration_iDR5_3_Main,0.0047,0.0028,0.0016,0.0030333332
HYDRA_0033,HYDRA-0033,HYDRA_0033,HYDRA_0033,Calibration_iDR5_3_Main,0.0038,0.0027,0.0017,0.0027333333
HYDRA_0034,HYDRA-0034,HYDRA_0034,HYDRA_0034,Calibration_iDR5_3_Main,0.0028,0.0029,0.0022,0.0026333332
HYDRA-0035,HYDRA-0035,HYDRA_0035,HYDRA-0035,Calibration_iDR5_3_Main,0.0037,0.0036,0.002,0.0031
HYDRA-0036,HYDRA-0036,HYDRA_0036,HYDRA-0036,Calibration_iDR5_3_Main,0.0031,0.0036,0.0019,0.0028666668
HYDRA-0037,HYDRA-0037,HYDRA_0037,HYDRA-0037,Calibration_iDR5_3_Main,0.0031,0.0027,9.0E-4,0.0022333334
HYDRA_0038,HYDRA-0038,HYDRA_0038,HYDRA_0038,Calibration_iDR5_3_Main,0.0054,0.0042,0.0029,0.004166667
HYDRA-0039,HYDRA-0039,HYDRA_0039,HYDRA-0039,Calibration_iDR5_3_Main,0.0063,0.0036,6.0E-4,0.0034999999
