iDR5_Field_Name,Field,NAME,PHOT,aper_corr_single_U,aper_corr_single_F378,aper_corr_single_F395,aper_corr_single_F410,aper_corr_single_F430,aper_corr_single_G,aper_corr_single_F515,aper_corr_single_R,aper_corr_single_F660,aper_corr_single_I,aper_corr_single_F861,aper_corr_single_Z
HYDRA-0011,HYDRA-0011,HYDRA_0011,single,-0.36735,-0.3603,-0.30763,-0.30208,-0.31281,-0.29539,-0.28272,-0.24202,-0.22771,-0.23053,-0.22164,-0.24397
HYDRA_0012,HYDRA-0012,HYDRA_0012,single,-0.43337,-0.36229,-0.35754,-0.3268,-0.32889,-0.30713,-0.28209,-0.25292,-0.27578,-0.2292,-0.25853,-0.24768
HYDRA_0013,HYDRA-0013,HYDRA_0013,single,-0.51231,-0.48348,-0.45958,-0.53331,-0.40391,-0.29958,-0.30557,-0.25886,-0.32811,-0.22273,-0.31132,-0.2458
HYDRA_0014,HYDRA-0014,HYDRA_0014,single,-0.43083,-0.40203,-0.38904,-0.40202,-0.39844,-0.36403,-0.33731,-0.29757,-0.29379,-0.26751,-0.30689,-0.29394
HYDRA_0015,HYDRA-0015,HYDRA_0015,single,-0.56972,-0.50896,-0.49035,-0.52685,-0.52245,-0.50591,-0.51887,-0.41375,-0.52714,-0.41341,-0.3991,-0.45392
HYDRA_0016,HYDRA-0016,HYDRA_0016,single,-0.67062,-0.63451,-0.63019,-0.62415,-0.61308,-0.617,-0.65878,-0.6808,-0.68827,-0.74098,-0.49555,-0.62722
HYDRA_0017,HYDRA-0017,HYDRA_0017,single,-0.59559,-0.6048,-0.65165,-0.69122,-0.65845,-0.63267,-0.66685,-0.66526,-0.72523,-0.5707,-0.63663,-0.53525
HYDRA_0018,HYDRA-0018,HYDRA_0018,single,-0.3526,-0.31425,-0.29689,-0.29787,-0.2769,-0.24727,-0.24337,-0.56727,-0.53138,-0.43292,-0.63749,-0.46242
HYDRA_0019,HYDRA-0019,HYDRA_0019,single,-0.66872,-0.65032,-0.64861,-0.64983,-0.60451,-0.54557,-0.58294,-0.52384,-0.60126,-0.46666,-0.47592,-0.42152
HYDRA_0020,HYDRA-0020,HYDRA_0020,single,-0.44444,-0.36962,-0.36376,-0.38834,-0.44995,-0.36204,-0.36069,-0.32009,-0.31425,-0.29365,-0.28965,-0.31876
HYDRA-0021,HYDRA-0021,HYDRA_0021,single,-0.36091,-0.36618,-0.38855,-0.40181,-0.35883,-0.29841,-0.34505,-0.26488,-0.2412,-0.2495,-0.22832,-0.26394
HYDRA_0022,HYDRA-0022,HYDRA_0022,single,-0.51657,-0.39812,-0.38958,-0.39523,-0.38044,-0.31844,-0.33335,-0.31825,-0.38231,-0.26759,-0.32094,-0.38429
HYDRA_0023,HYDRA-0023,HYDRA_0023,single,-0.54924,-0.44136,-0.42979,-0.43499,-0.42113,-0.38053,-0.40346,-0.29711,-0.26023,-0.26565,-0.29564,-0.26507
HYDRA_0024,HYDRA-0024,HYDRA_0024,single,-0.46897,-0.50225,-0.44811,-0.42951,-0.41161,-0.39726,-0.38037,-0.37155,-0.34511,-0.30824,-0.28719,-0.32681
HYDRA_0025,HYDRA-0025,HYDRA_0025,single,-0.43088,-0.5118,-0.47538,-0.45521,-0.46577,-0.3972,-0.39569,-0.35243,-0.30729,-0.32628,-0.30524,-0.36481
HYDRA_0026,HYDRA-0026,HYDRA_0026,single,-0.44002,-0.34895,-0.3344,-0.52036,-0.32658,-0.30932,-0.30949,-0.26918,-0.27053,-0.22017,-0.22532,-0.23427
HYDRA_0027,HYDRA-0027,HYDRA_0027,single,-0.55474,-0.52496,-0.56783,-0.57583,-0.63459,-0.51239,-0.48959,-0.33905,-0.46189,-0.36651,-0.56528,-0.46457
HYDRA_0028,HYDRA-0028,HYDRA_0028,single,-0.50264,-0.53218,-0.40007,-0.39789,-0.42039,-0.36152,-0.35724,-0.30196,-0.3488,-0.2615,-0.32701,-0.29725
HYDRA_0029,HYDRA-0029,HYDRA_0029,single,-0.4594,-0.46421,-0.43339,-0.48225,-0.46219,-0.43993,-0.46355,-0.41439,-0.38841,-0.35486,-0.3109,-0.37408
HYDRA_0030,HYDRA-0030,HYDRA_0030,single,-0.46867,-0.44249,-0.41265,-0.41457,-0.3925,-0.3571,-0.35914,-0.29916,-0.30883,-0.25829,-0.26373,-0.26523
HYDRA-0031,HYDRA-0031,HYDRA_0031,single,-0.64825,-0.41151,-0.39066,-0.37146,-0.36845,-0.35887,-0.52643,-0.34253,-0.31813,-0.26652,-0.27447,-0.27962
