iDR5_Field_Name,Field,PID,NAME,RA,DEC,RA_d,DEC_d,Removed
SPLUS-b017,SPLUS-b017,SPLUS,SPLUS-b017,18:24:24,-22:30:56,276.1,-22.51555556,0
SPLUS-b038,SPLUS-b038,SPLUS,SPLUS-b038,18:35:51,-25:18:01,278.9625,-25.30027778,0
SPLUS-b039,SPLUS-b039,SPLUS,SPLUS-b039,18:42:05,-25:18:01,280.5208333,-25.30027778,0
SPLUS-b040,SPLUS-b040,SPLUS,SPLUS-b040,18:48:19,-25:18:01,282.0791667,-25.30027778,0
SPLUS-b044,SPLUS-b044,SPLUS,SPLUS-b044,17:47:22,-26:41:23,266.8416667,-26.68972222,0
SPLUS-b051,SPLUS-b051,SPLUS,SPLUS-b051,18:31:35,-26:41:23,277.8958333,-26.68972222,0
SPLUS-b054,SPLUS-b054,SPLUS,SPLUS-b054,18:50:32,-26:41:23,282.6333333,-26.68972222,0
SPLUS-b056,SPLUS-b056,SPLUS,SPLUS-b056,19:03:09,-26:41:23,285.7875,-26.68972222,0
SPLUS-b067,SPLUS-b067,SPLUS,SPLUS-b067,18:28:40,-28:04:38,277.1666667,-28.07722222,0
SPLUS-b068,SPLUS-b068,SPLUS,SPLUS-b068,18:35:03,-28:04:38,278.7625,-28.07722222,0
SPLUS-b069,SPLUS-b069,SPLUS,SPLUS-b069,18:41:25,-28:04:38,280.3541667,-28.07722222,0
SPLUS-b070,SPLUS-b070,SPLUS,SPLUS-b070,18:47:47,-28:04:38,281.9458333,-28.07722222,0
SPLUS-b071,SPLUS-b071,SPLUS,SPLUS-b071,18:54:10,-28:04:38,283.5416667,-28.07722222,0
SPLUS-b072,SPLUS-b072,SPLUS,SPLUS-b072,19:00:32,-28:04:38,285.1333333,-28.07722222,0
SPLUS-b076,SPLUS-b076,SPLUS,SPLUS-b076,17:39:01,-29:27:47,264.7541667,-29.46305556,0
SPLUS-b101,SPLUS-b101,SPLUS,SPLUS-b101,18:32:44,-30:50:50,278.1833333,-30.84722222,0
SPLUS-b102,SPLUS-b102,SPLUS,SPLUS-b102,18:39:16,-30:50:50,279.8166667,-30.84722222,0
SPLUS-b103,SPLUS-b103,SPLUS,SPLUS-b103,18:45:49,-30:50:50,281.4541667,-30.84722222,0
SPLUS-b104,SPLUS-b104,SPLUS,SPLUS-b104,18:52:22,-30:50:50,283.0916667,-30.84722222,0
SPLUS-b105,SPLUS-b105,SPLUS,SPLUS-b105,18:58:55,-30:50:50,284.7291667,-30.84722222,0
SPLUS-b111,SPLUS-b111,SPLUS,SPLUS-b111,17:41:45,-32:13:45,265.4375,-32.22916667,0
SPLUS-b112,SPLUS-b112,SPLUS,SPLUS-b112,17:48:23,-32:13:45,267.0958333,-32.22916667,0
SPLUS-b117,SPLUS-b117,SPLUS,SPLUS-b117,18:21:34,-32:13:45,275.3916667,-32.22916667,0
SPLUS-b119,SPLUS-b119,SPLUS,SPLUS-b119,18:34:50,-32:13:45,278.7083333,-32.22916667,0
SPLUS-b120,SPLUS-b120,SPLUS,SPLUS-b120,18:41:28,-32:13:45,280.3666667,-32.22916667,0
SPLUS-b121,SPLUS-b121,SPLUS,SPLUS-b121,18:48:07,-32:13:45,282.0291667,-32.22916667,0
SPLUS-b122,SPLUS-b122,SPLUS,SPLUS-b122,18:54:45,-32:13:45,283.6875,-32.22916667,0
SPLUS-b125,SPLUS-b125,SPLUS,SPLUS-b125,17:21:08,-33:36:33,260.2833333,-33.60916667,0
SPLUS-b126,SPLUS-b126,SPLUS,SPLUS-b126,17:27:53,-33:36:33,261.9708333,-33.60916667,0
SPLUS-b133,SPLUS-b133,SPLUS,SPLUS-b133,18:15:13,-33:36:33,273.8041667,-33.60916667,0
SPLUS-b135,SPLUS-b135,SPLUS,SPLUS-b135,18:28:44,-33:36:33,277.1833333,-33.60916667,0
SPLUS-b136,SPLUS-b136,SPLUS,SPLUS-b136,18:35:30,-33:36:33,278.875,-33.60916667,0
SPLUS-b137,SPLUS-b137,SPLUS,SPLUS-b137,18:42:15,-33:36:33,280.5625,-33.60916667,0
SPLUS-b138,SPLUS-b138,SPLUS,SPLUS-b138,18:49:01,-33:36:33,282.2541667,-33.60916667,0
SPLUS-b152,SPLUS-b152,SPLUS,SPLUS-b152,18:37:43,-34:59:12,279.4291667,-34.98666667,0
SPLUS-b153,SPLUS-b153,SPLUS,SPLUS-b153,18:44:34,-34:59:12,281.1416667,-34.98666667,0
SPLUS-b164,SPLUS-b164,SPLUS,SPLUS-b164,18:26:05,-36:21:45,276.5208333,-36.3625,0
SPLUS-b165,SPLUS-b165,SPLUS,SPLUS-b165,18:33:03,-36:21:45,278.2625,-36.3625,0
SPLUS-b166,SPLUS-b166,SPLUS,SPLUS-b166,18:40:00,-36:21:45,280.0,-36.3625,0
SPLUS-b167,SPLUS-b167,SPLUS,SPLUS-b167,18:46:57,-36:21:45,281.7375,-36.3625,0
SPLUS-b176,SPLUS-b176,SPLUS,SPLUS-b176,18:19:30,-37:44:10,274.875,-37.73611111,0
SPLUS-b178,SPLUS-b178,SPLUS,SPLUS-b178,18:33:42,-37:44:10,278.425,-37.73611111,0
SPLUS-b179,SPLUS-b179,SPLUS,SPLUS-b179,18:40:47,-37:44:10,280.1958333,-37.73611111,0
SPLUS-b185,SPLUS-b185,SPLUS,SPLUS-b185,18:12:40,-39:06:26,273.1666667,-39.10722222,0
SPLUS-b186,SPLUS-b186,SPLUS,SPLUS-b186,18:19:54,-39:06:26,274.975,-39.10722222,0
SPLUS-b187,SPLUS-b187,SPLUS,SPLUS-b187,18:27:08,-39:06:26,276.7833333,-39.10722222,0
SPLUS-b188,SPLUS-b188,SPLUS,SPLUS-b188,18:34:22,-39:06:26,278.5916667,-39.10722222,0
SPLUS-b189,SPLUS-b189,SPLUS,SPLUS-b189,18:41:36,-39:06:26,280.4,-39.10722222,0
SPLUS-b191,SPLUS-b191,SPLUS,SPLUS-b191,17:58:09,-40:28:34,269.5375,-40.47611111,0
SPLUS-b193,SPLUS-b193,SPLUS,SPLUS-b193,18:12:55,-40:28:34,273.2291667,-40.47611111,0
SPLUS-b194,SPLUS-b194,SPLUS,SPLUS-b194,18:20:18,-40:28:34,275.075,-40.47611111,0
SPLUS-b195,SPLUS-b195,SPLUS,SPLUS-b195,18:27:42,-40:28:34,276.925,-40.47611111,0
SPLUS-b196,SPLUS-b196,SPLUS,SPLUS-b196,18:35:05,-40:28:34,278.7708333,-40.47611111,0
SPLUS-b198,SPLUS-b198,SPLUS,SPLUS-b198,18:05:39,-41:50:32,271.4125,-41.84222222,0
SPLUS-b199,SPLUS-b199,SPLUS,SPLUS-b199,18:13:12,-41:50:32,273.3,-41.84222222,0
