RAJ2000,DEJ2000,cst,type
353.0356980555555,35.1897736,AND,I
352.0273875,35.1880264,AND,I
351.0189630555555,35.1860695,AND,I
350.0105386111111,35.1838989,AND,I
349.0023419444444,35.1815186,AND,I
347.99400305555554,35.1789322,AND,I
346.98569249999997,35.1761322,AND,I
345.9775544444444,35.17313,AND,I
344.9693294444444,35.1699181,AND,I
344.46530388888885,35.1682358,AND,O
344.4601813888888,36.1682281,AND,I
344.4548894444444,37.1682205,AND,I
344.4494819444444,38.1682091,AND,I
344.4439319444444,39.1682014,AND,I
344.4382094444444,40.16819,AND,I
344.43231611111105,41.1681786,AND,I
344.42625,42.1681709,AND,I
344.4199844444444,43.1681557,AND,I
344.41349111111106,44.168148,AND,I
344.40679499999993,45.1681366,AND,I
344.3998425,46.1681252,AND,I
344.3926619444444,47.1681137,AND,I
344.38519499999995,48.1681023,AND,I
344.3774130555555,49.168087,AND,I
344.36931611111106,50.1680717,AND,I
344.36087555555554,51.1680603,AND,I
344.3520644444444,52.1680412,AND,I
344.34285138888885,53.1680298,AND,O
345.3582569444444,53.1713676,AND,I
346.3739205555555,53.1744957,AND,I
347.3896694444444,53.1774216,AND,I
348.40527611111105,53.1801338,AND,I
349.42113888888883,53.1826363,AND,I
350.4370588888888,53.1849251,AND,I
351.45289361111105,53.1870041,AND,O
351.4581869444444,52.1870117,AND,I
351.4632225,51.1870155,AND,I
351.46568249999996,50.6870193,AND,O
352.48031555555553,50.6888847,AND,I
353.49497861111104,50.6905365,AND,I
354.5095261111111,50.6919746,AND,I
355.2705569444444,50.6929131,AND,O
355.2733605555555,49.6929131,AND,I
355.2760786111111,48.6929169,AND,O
356.28982499999995,48.6939774,AND,I
357.30359999999996,48.694828,AND,I
358.31723249999993,48.6954613,AND,I
359.3310361111111,48.6958809,AND,I
0.34482749999999995,48.6960831,AND,I
1.3584644444444443,48.6960716,AND,I
1.6119705555555552,48.6960373,AND,I
1.6119599999999998,48.6960373,AND,I
2.6257605555555554,48.695755,AND,I
3.639400555555555,48.6952629,AND,I
4.146367499999999,48.6949348,AND,O
4.144793888888889,47.6949348,AND,I
4.143278888888888,46.6949348,AND,O
5.155964999999999,46.6941185,AND,I
6.1687844444444435,46.6930885,AND,I
7.181581388888888,46.6918449,AND,I
8.194201388888889,46.6903877,AND,I
9.206943055555554,46.6887169,AND,I
10.219651388888888,46.6868362,AND,I
11.232168055555555,46.684742,AND,I
12.244796944444444,46.6824379,AND,I
13.257378055555554,46.6799202,AND,I
14.269756388888887,46.6771965,AND,I
14.776076944444442,46.6757545,AND,O
14.782349999999997,47.6757469,AND,I
14.788867499999999,48.6757393,AND,O
15.802069444444442,48.672699,AND,I
16.815358611111108,48.6694489,AND,I
17.828576944444443,48.6659966,AND,I
18.588408055555554,48.663269,AND,O
18.596976111111108,49.66325,AND,I
18.605903888888886,50.6632347,AND,O
19.619800555555553,50.65942,AND,I
20.633761388888885,50.6553993,AND,I
21.647635555555553,50.6511765,AND,I
22.40793611111111,50.6478767,AND,O
23.421486111111108,50.6433029,AND,I
24.435085555555553,50.6385307,AND,I
25.448575555555554,50.633564,AND,I
26.461803055555553,50.6283989,AND,I
26.968523888888885,50.6257439,AND,O
26.955658611111108,49.6257782,AND,I
26.943310555555552,48.6258125,AND,I
26.93143944444444,47.625843,AND,O
27.943166944444442,47.6203957,AND,I
28.95493805555555,47.6147575,AND,I
29.966591944444442,47.6089287,AND,I
30.97798055555555,47.6029167,AND,I
31.98940194444444,47.5967178,AND,I
32.621491388888884,47.5927505,AND,O
32.63569194444444,48.5927048,AND,I
32.65046555555555,49.5926552,AND,I
32.665858611111105,50.5926094,AND,I
32.6738011111111,51.0925827,AND,O
33.686338611111104,51.0860786,AND,I
34.698876111111105,51.0793915,AND,I
35.71126361111111,51.0725288,AND,I
36.723346388888885,51.0654869,AND,I
37.73542361111111,51.0582733,AND,I
38.74733111111111,51.0508881,AND,I
39.75892805555555,51.0433311,AND,I
39.885478611111104,51.0423737,AND,O
39.86672694444444,50.0424461,AND,I
39.84874194444444,49.042511,AND,I
39.83146944444444,48.0425797,AND,I
39.81484944444444,47.0426407,AND,I
39.798846111111104,46.0427017,AND,I
39.78341111111111,45.0427628,AND,I
39.76850111111111,44.0428162,AND,I
39.75409194444444,43.0428696,AND,I
39.74014194444444,42.0429268,AND,I
39.72662694444444,41.0429764,AND,I
39.71351249999999,40.043026,AND,I
39.70078055555555,39.0430756,AND,I
39.688403888888885,38.0431213,AND,I
39.67934111111111,37.2931557,AND,O
38.67211055555555,37.3006973,AND,I
37.66477638888888,37.3080711,AND,I
36.65749361111111,37.3152733,AND,I
35.649966111111105,37.3223038,AND,I
34.6423425,37.3291588,AND,I
33.63477305555555,37.3358345,AND,I
32.62696638888888,37.3423309,AND,I
31.871091111111106,37.347084,AND,O
31.861373888888885,36.3471146,AND,I
31.854250555555552,35.5971375,AND,O
30.84678444444444,35.6033134,AND,I
29.839388888888884,35.6093025,AND,I
28.83176861111111,35.6151047,AND,I
27.82407444444444,35.6207199,AND,I
26.816459999999996,35.6261444,AND,I
25.808624999999996,35.6313782,AND,I
24.800723888888886,35.6364174,AND,I
23.792909999999996,35.6412582,AND,I
22.910835,35.6453362,AND,O
22.904050555555553,34.6453514,AND,I
22.897426388888885,33.6453705,AND,O
21.890081944444443,33.6498375,AND,I
20.882533611111107,33.65411,AND,I
19.874936944444443,33.6581841,AND,I
18.86744111111111,33.6620522,AND,I
17.85975,33.6657181,AND,I
16.85201861111111,33.669178,AND,I
15.844394999999999,33.6724358,AND,I
14.836583888888887,33.6754837,AND,I
13.828736944444442,33.6783295,AND,I
12.821006944444443,33.6809616,AND,I
12.443063888888886,33.6818962,AND,O
12.439591388888887,32.6819,AND,I
12.436193888888887,31.6819019,AND,I
12.432871388888888,30.6819096,AND,I
12.429616388888887,29.6819115,AND,I
12.426424444444443,28.6819153,AND,I
12.423292499999999,27.681921,AND,I
12.420218888888888,26.6819229,AND,I
12.417198055555554,25.6819267,AND,I
12.414226388888887,24.6819305,AND,I
12.413491388888888,24.4319324,AND,O
13.418713611111109,24.4293823,AND,I
14.424064444444443,24.4266243,AND,I
14.424064444444443,24.4266243,AND,O
14.420658055555554,23.4266281,AND,I
14.41730111111111,22.4266338,AND,I
14.414815555555554,21.6766376,AND,O
13.410136388888887,21.6793938,AND,I
12.405588055555555,21.681942,AND,I
11.400873055555554,21.6842804,AND,I
10.396138611111109,21.6864109,AND,I
9.39154361111111,21.6883316,AND,I
8.38678361111111,21.6900406,AND,I
7.382009999999999,21.6915398,AND,I
6.377378888888888,21.6928253,AND,I
5.372588888888888,21.6938992,AND,I
