iDR5_Field_Name,Field,PID,NAME,RA,DEC,RA_d,DEC_d,Reduction,Photometry,Ref_mag_inst
MC0001,MC0001,MC,MC0001,4:30:46,-63:16:04,67.69166667,-63.26777778,JYPE,all,psf
MC0002,MC0002,MC,MC0002,4:43:05,-63:16:04,70.77083333,-63.26777778,MAR,all,psf
MC0003,MC0003,MC,MC0003,4:55:23,-63:16:04,73.84583333,-63.26777778,JYPE,all,psf
MC0004,MC0004,MC,MC0004,5:07:42,-63:16:04,76.925,-63.26777778,JYPE,psf,psf
MC0005,MC0005,MC,MC0005,5:20:00,-63:16:04,80.0,-63.26777778,JYPE,psf,psf
MC0006,MC0006,MC,MC0006,5:32:18,-63:16:04,83.075,-63.26777778,JYPE,psf,psf
MC0007,MC0007,MC,MC0007,5:44:37,-63:16:04,86.15416667,-63.26777778,JYPE,psf,psf
MC0008,MC0008,MC,MC0008,5:56:55,-63:16:04,89.22916667,-63.26777778,JYPE,psf,psf
MC0009,MC0009,MC,MC0009,6:09:14,-63:16:04,92.30833333,-63.26777778,JYPE,all,psf
MC0010,MC0010,MC,MC0010,6:21:32,-63:16:04,95.38333333,-63.26777778,JYPE,all,psf
MC0011,MC0011,MC,MC0011,4:30:00,-64:34:07,67.5,-64.56861111,JYPE,all,psf
MC0012,MC0012,MC,MC0012,4:42:51,-64:34:07,70.7125,-64.56861111,JYPE,all,psf
MC0013,MC0013,MC,MC0013,4:55:43,-64:34:07,73.92916667,-64.56861111,JYPE,psf,psf
MC0014,MC0014,MC,MC0014,5:08:34,-64:34:07,77.14166667,-64.56861111,JYPE,psf,psf
MC0015,MC0015,MC,MC0015,5:21:26,-64:34:07,80.35833333,-64.56861111,JYPE,psf,psf
MC0016,MC0016,MC,MC0016,5:34:17,-64:34:07,83.57083333,-64.56861111,JYPE,psf,psf
MC0017,MC0017,MC,MC0017,5:47:09,-64:34:07,86.7875,-64.56861111,JYPE,psf,psf
MC0018,MC0018,MC,MC0018,6:00:00,-64:34:07,90.0,-64.56861111,JYPE,psf,psf
MC0019,MC0019,MC,MC0019,6:12:51,-64:34:07,93.2125,-64.56861111,JYPE,all,psf
MC0020,MC0020,MC,MC0020,6:25:43,-64:34:07,96.42916667,-64.56861111,JYPE,all,psf
MC0021,MC0021,MC,MC0021,4:42:37,-65:51:48,70.65416667,-65.86333333,JYPE,psf,psf
MC0022,MC0022,MC,MC0022,4:56:04,-65:51:48,74.01666667,-65.86333333,JYPE,psf,psf
MC0023,MC0023,MC,MC0023,5:09:32,-65:51:48,77.38333333,-65.86333333,JYPE,psf,psf
MC0024,MC0024,MC,MC0024,5:22:59,-65:51:48,80.74583333,-65.86333333,JYPE,psf,psf
MC0025,MC0025,MC,MC0025,5:36:27,-65:51:48,84.1125,-65.86333333,JYPE,psf,psf
MC0026,MC0026,MC,MC0026,5:49:54,-65:51:48,87.475,-65.86333333,JYPE,psf,psf
MC0027,MC0027,MC,MC0027,6:03:22,-65:51:48,90.84166667,-65.86333333,JYPE,psf,psf
MC0028,MC0028,MC,MC0028,6:16:49,-65:51:48,94.20416667,-65.86333333,MAR,all,psf
MC0029,MC0029,MC,MC0029,4:42:21,-67:09:05,70.5875,-67.15138889,JYPE,psf,psf
MC0030,MC0030,MC,MC0030,4:56:28,-67:09:05,74.11666667,-67.15138889,JYPE,psf,psf
MC0031,MC0031,MC,MC0031,5:10:35,-67:09:05,77.64583333,-67.15138889,MAR,psf,psf
MC0032,MC0032,MC,MC0032,5:24:42,-67:09:05,81.175,-67.15138889,JYPE,psf,psf
MC0033,MC0033,MC,MC0033,5:38:49,-67:09:05,84.70416667,-67.15138889,JYPE,psf,psf
MC0034,MC0034,MC,MC0034,5:52:56,-67:09:05,88.23333333,-67.15138889,JYPE,psf,psf
MC0035,MC0035,MC,MC0035,6:07:04,-67:09:05,91.76666667,-67.15138889,JYPE,psf,psf
MC0036,MC0036,MC,MC0036,6:21:11,-67:09:05,95.29583333,-67.15138889,JYPE,all,psf
MC0037,MC0037,MC,MC0037,4:42:04,-68:25:56,70.51666667,-68.43222222,MAR,psf,psf
MC0038,MC0038,MC,MC0038,4:56:54,-68:25:56,74.225,-68.43222222,JYPE,psf,psf
MC0040,MC0040,MC,MC0040,5:26:36,-68:25:56,81.65,-68.43222222,MAR,psf,psf
MC0041,MC0041,MC,MC0041,5:41:27,-68:25:56,85.3625,-68.43222222,JYPE,psf,psf
MC0042,MC0042,MC,MC0042,5:56:17,-68:25:56,89.07083333,-68.43222222,JYPE,psf,psf
MC0043,MC0043,MC,MC0043,6:11:08,-68:25:56,92.78333333,-68.43222222,JYPE,psf,psf
MC0044,MC0044,MC,MC0044,6:25:59,-68:25:56,96.49583333,-68.43222222,JYPE,all,psf
MC0045,MC0045,MC,MC0045,0:15:49,-69:42:20,3.954166667,-69.70555556,MAR,all,psf
MC0046,MC0046,MC,MC0046,0:31:39,-69:42:20,7.9125,-69.70555556,MAR,all,psf
MC0047,MC0047,MC,MC0047,0:47:28,-69:42:20,11.86666667,-69.70555556,MAR,all,psf
MC0048,MC0048,MC,MC0048,1:03:18,-69:42:20,15.825,-69.70555556,MAR,all,psf
MC0049,MC0049,MC,MC0049,1:19:07,-69:42:20,19.77916667,-69.70555556,JYPE,all,psf
MC0050,MC0050,MC,MC0050,1:34:57,-69:42:20,23.7375,-69.70555556,JYPE,all,psf
MC0051,MC0051,MC,MC0051,1:50:46,-69:42:20,27.69166667,-69.70555556,MAR,all,psf
MC0052,MC0052,MC,MC0052,2:06:36,-69:42:20,31.65,-69.70555556,JYPE,all,psf
MC0053,MC0053,MC,MC0053,2:22:25,-69:42:20,35.60416667,-69.70555556,MAR,all,psf
MC0054,MC0054,MC,MC0054,2:38:15,-69:42:20,39.5625,-69.70555556,MAR,all,psf
MC0055,MC0055,MC,MC0055,2:54:04,-69:42:20,43.51666667,-69.70555556,MAR,all,psf
MC0056,MC0056,MC,MC0056,3:09:53,-69:42:20,47.47083333,-69.70555556,MAR,all,psf
MC0057,MC0057,MC,MC0057,3:25:43,-69:42:20,51.42916667,-69.70555556,MAR,all,psf
MC0058,MC0058,MC,MC0058,3:41:32,-69:42:20,55.38333333,-69.70555556,MAR,all,psf
MC0059,MC0059,MC,MC0059,3:57:22,-69:42:20,59.34166667,-69.70555556,MAR,all,psf
MC0060,MC0060,MC,MC0060,4:13:11,-69:42:20,63.29583333,-69.70555556,JYPE,all,psf
MC0061,MC0061,MC,MC0061,4:29:01,-69:42:20,67.25416667,-69.70555556,JYPE,all,psf
MC0062,MC0062,MC,MC0062,4:44:50,-69:42:20,71.20833333,-69.70555556,MAR,psf,psf
MC0063,MC0063,MC,MC0063,5:00:40,-69:42:20,75.16666667,-69.70555556,JYPE,psf,psf
MC0064,MC0064,MC,MC0064,5:16:29,-69:42:20,79.12083333,-69.70555556,MAR,psf,psf
MC0065,MC0065,MC,MC0065,5:32:18,-69:42:20,83.075,-69.70555556,MAR,psf,psf
MC0066,MC0066,MC,MC0066,5:48:08,-69:42:20,87.03333333,-69.70555556,MAR,psf,psf
MC0067,MC0067,MC,MC0067,6:03:57,-69:42:20,90.9875,-69.70555556,JYPE,psf,psf
MC0068,MC0068,MC,MC0068,6:19:47,-69:42:20,94.94583333,-69.70555556,MAR,psf,psf
MC0069,MC0069,MC,MC0069,0:16:45,-70:58:02,4.1875,-70.96722222,MAR,all,psf
MC0070,MC0070,MC,MC0070,0:33:29,-70:58:02,8.370833333,-70.96722222,MAR,psf,psf
MC0071,MC0071,MC,MC0071,0:50:14,-70:58:02,12.55833333,-70.96722222,MAR,psf,psf
MC0072,MC0072,MC,MC0072,1:06:59,-70:58:02,16.74583333,-70.96722222,MAR,psf,psf
MC0073,MC0073,MC,MC0073,1:23:43,-70:58:02,20.92916667,-70.96722222,MAR,psf,psf
MC0074,MC0074,MC,MC0074,1:40:28,-70:58:02,25.11666667,-70.96722222,MAR,all,psf
MC0075,MC0075,MC,MC0075,1:57:13,-70:58:02,29.30416667,-70.96722222,MAR,all,psf
MC0076,MC0076,MC,MC0076,2:13:57,-70:58:02,33.4875,-70.96722222,MAR,all,psf
MC0077,MC0077,MC,MC0077,2:30:42,-70:58:02,37.675,-70.96722222,MAR,all,psf
MC0078,MC0078,MC,MC0078,2:47:27,-70:58:02,41.8625,-70.96722222,MAR,all,psf
MC0079,MC0079,MC,MC0079,3:04:11,-70:58:02,46.04583333,-70.96722222,MAR,all,psf
MC0080,MC0080,MC,MC0080,3:20:56,-70:58:02,50.23333333,-70.96722222,MAR,all,psf
MC0081,MC0081,MC,MC0081,3:37:40,-70:58:02,54.41666667,-70.96722222,MAR,all,psf
MC0082,MC0082,MC,MC0082,3:54:25,-70:58:02,58.60416667,-70.96722222,MAR,all,psf
MC0083,MC0083,MC,MC0083,4:11:10,-70:58:02,62.79166667,-70.96722222,MAR,all,psf
MC0084,MC0084,MC,MC0084,4:27:54,-70:58:02,66.975,-70.96722222,MAR,all,psf
MC0085,MC0085,MC,MC0085,4:44:39,-70:58:02,71.1625,-70.96722222,JYPE,psf,psf
MC0086,MC0086,MC,MC0086,5:01:24,-70:58:02,75.35,-70.96722222,JYPE,psf,psf
MC0087,MC0087,MC,MC0087,5:18:08,-70:58:02,79.53333333,-70.96722222,JYPE,psf,psf
MC0088,MC0088,MC,MC0088,5:34:53,-70:58:02,83.72083333,-70.96722222,JYPE,psf,psf
MC0089,MC0089,MC,MC0089,5:51:38,-70:58:02,87.90833333,-70.96722222,JYPE,psf,psf
MC0090,MC0090,MC,MC0090,6:08:22,-70:58:02,92.09166667,-70.96722222,JYPE,psf,psf
MC0091,MC0091,MC,MC0091,6:25:07,-70:58:02,96.27916667,-70.96722222,JYPE,all,psf
MC0092,MC0092,MC,MC0092,0:17:47,-72:13:10,4.445833333,-72.21944444,MAR,psf,psf
MC0093,MC0093,MC,MC0093,0:35:33,-72:13:10,8.8875,-72.21944444,MAR,psf,psf
