PID,NAME,RA,DEC,RA_d,DEC_d,Removed
STRIPE82,STRIPE82_0001,0:00:00,-0:42:00,0,-0.7,0
STRIPE82,STRIPE82_0002,0:00:00,+00:42:00,0,0.7,0
STRIPE82,STRIPE82_0003,0:05:40,-0:42:00,1.416666667,-0.7,0
STRIPE82,STRIPE82_0004,0:05:40,+00:42:00,1.416666667,0.7,0
STRIPE82,STRIPE82_0005,0:11:20,-0:42:00,2.833333333,-0.7,0
STRIPE82,STRIPE82_0006,0:11:20,+00:42:00,2.833333333,0.7,0
STRIPE82,STRIPE82_0007,0:17:00,-0:42:00,4.25,-0.7,0
STRIPE82,STRIPE82_0008,0:17:00,+00:42:00,4.25,0.7,0
STRIPE82,STRIPE82_0009,0:22:41,-0:42:00,5.670833333,-0.7,0
STRIPE82,STRIPE82_0010,0:22:41,+00:42:00,5.670833333,0.7,0
STRIPE82,STRIPE82_0011,0:28:21,-0:42:00,7.0875,-0.7,0
STRIPE82,STRIPE82_0012,0:28:21,+00:42:00,7.0875,0.7,0
STRIPE82,STRIPE82_0013,0:34:01,-0:42:00,8.504166667,-0.7,0
STRIPE82,STRIPE82_0014,0:34:01,+00:42:00,8.504166667,0.7,0
STRIPE82,STRIPE82_0015,0:39:41,-0:42:00,9.920833333,-0.7,0
STRIPE82,STRIPE82_0016,0:39:41,+00:42:00,9.920833333,0.7,0
STRIPE82,STRIPE82_0017,0:45:21,-0:42:00,11.3375,-0.7,0
STRIPE82,STRIPE82_0018,0:45:21,+00:42:00,11.3375,0.7,0
STRIPE82,STRIPE82_0019,0:51:01,-0:42:00,12.75416667,-0.7,0
STRIPE82,STRIPE82_0020,0:51:01,+00:42:00,12.75416667,0.7,0
STRIPE82,STRIPE82_0021,0:56:42,-0:42:00,14.175,-0.7,0
STRIPE82,STRIPE82_0022,0:56:42,+00:42:00,14.175,0.7,0
STRIPE82,STRIPE82_0023,1:02:22,-0:42:00,15.59166667,-0.7,0
STRIPE82,STRIPE82_0024,1:02:22,+00:42:00,15.59166667,0.7,0
STRIPE82,STRIPE82_0025,1:08:02,-0:42:00,17.00833333,-0.7,0
STRIPE82,STRIPE82_0026,1:08:02,+00:42:00,17.00833333,0.7,0
STRIPE82,STRIPE82_0027,1:13:42,-0:42:00,18.425,-0.7,0
STRIPE82,STRIPE82_0028,1:13:42,+00:42:00,18.425,0.7,0
STRIPE82,STRIPE82_0029,1:19:22,-0:42:00,19.84166667,-0.7,0
STRIPE82,STRIPE82_0030,1:19:22,+00:42:00,19.84166667,0.7,0
STRIPE82,STRIPE82_0031,1:25:02,-0:42:00,21.25833333,-0.7,0
STRIPE82,STRIPE82_0032,1:25:02,+00:42:00,21.25833333,0.7,0
STRIPE82,STRIPE82_0033,1:30:43,-0:42:00,22.67916667,-0.7,0
STRIPE82,STRIPE82_0034,1:30:43,+00:42:00,22.67916667,0.7,0
STRIPE82,STRIPE82_0035,1:36:23,-0:42:00,24.09583333,-0.7,0
