PID,NAME,RA_d,DEC_d,EPOC
HYDRA,HYDRA-0011,150.77083333299998,-23.9086111111,2000
HYDRA,HYDRA-0012,152.30833333299998,-23.9086111111,2000
HYDRA,HYDRA-0013,153.845833333,-23.9086111111,2000
HYDRA,HYDRA-0014,155.383333333,-23.9086111111,2000
HYDRA,HYDRA-0015,156.925,-23.9086111111,2000
HYDRA,HYDRA-0016,158.4625,-23.9086111111,2000
HYDRA,HYDRA-0017,160.0,-23.9086111111,2000
HYDRA,HYDRA-0018,161.5375,-23.9086111111,2000
HYDRA,HYDRA-0019,163.075,-23.9086111111,2000
HYDRA,HYDRA-0020,164.616666667,-23.9086111111,2000
HYDRA,HYDRA-0021,151.170833333,-25.3002777778,2000
HYDRA,HYDRA-0022,152.72916666700002,-25.3002777778,2000
HYDRA,HYDRA-0023,154.2875,-25.3002777778,2000
HYDRA,HYDRA-0024,155.845833333,-25.3002777778,2000
HYDRA,HYDRA-0025,157.404166667,-25.3002777778,2000
HYDRA,HYDRA-0026,158.9625,-25.3002777778,2000
HYDRA,HYDRA-0027,160.52083333299998,-25.3002777778,2000
HYDRA,HYDRA-0028,162.079166667,-25.3002777778,2000
HYDRA,HYDRA-0029,163.6375,-25.3002777778,2000
HYDRA,HYDRA-0030,150.0,-26.689722222199997,2000
HYDRA,HYDRA-0031,151.579166667,-26.689722222199997,2000
HYDRA,HYDRA-0032,153.158333333,-26.689722222199997,2000
HYDRA,HYDRA-0033,154.7375,-26.689722222199997,2000
HYDRA,HYDRA-0034,156.31666666700002,-26.689722222199997,2000
HYDRA,HYDRA-0035,157.89583333299998,-26.689722222199997,2000
HYDRA,HYDRA-0036,159.475,-26.689722222199997,2000
HYDRA,HYDRA-0037,161.054166667,-26.689722222199997,2000
HYDRA,HYDRA-0038,162.633333333,-26.689722222199997,2000
HYDRA,HYDRA-0039,164.2125,-26.689722222199997,2000
HYDRA,HYDRA-0040,151.329166667,-28.0772222222,2000
HYDRA,HYDRA-0041,152.920833333,-28.0772222222,2000
HYDRA,HYDRA-0042,154.5125,-28.0772222222,2000
HYDRA,HYDRA-0043,156.10416666700002,-28.0772222222,2000
HYDRA,HYDRA-0044,157.7,-28.0772222222,2000
HYDRA,HYDRA-0045,159.29166666700002,-28.0772222222,2000
HYDRA,HYDRA-0046,160.883333333,-28.0772222222,2000
HYDRA,HYDRA-0047,162.47916666700002,-28.0772222222,2000
HYDRA,HYDRA-0048,164.070833333,-28.0772222222,2000
HYDRA,HYDRA-0049,150.133333333,-29.4630555556,2000
HYDRA,HYDRA-0050,151.75,-29.4630555556,2000
HYDRA,HYDRA-0051,153.3625,-29.4630555556,2000
HYDRA,HYDRA-0052,154.97916666700002,-29.4630555556,2000
HYDRA,HYDRA-0053,156.591666667,-29.4630555556,2000
HYDRA,HYDRA-0054,158.20833333299998,-29.4630555556,2000
HYDRA,HYDRA-0055,159.820833333,-29.4630555556,2000
HYDRA,HYDRA-0056,161.43333333299998,-29.4630555556,2000
HYDRA,HYDRA-0057,163.05,-29.4630555556,2000
HYDRA,HYDRA-0058,164.6625,-29.4630555556,2000
SPLUS,SPLUS-s02s01,324.679166667,-1.35916666667,2000
SPLUS,SPLUS-s02s02,326.0375,-1.35916666667,2000
SPLUS,SPLUS-s02s03,327.395833333,-1.35916666667,2000
SPLUS,SPLUS-s02s04,328.754166667,-1.35916666667,2000
SPLUS,SPLUS-s02s05,330.1125,-1.35916666667,2000
SPLUS,SPLUS-s02s06,331.470833333,-1.35916666667,2000
SPLUS,SPLUS-s02s07,332.829166667,-1.35916666667,2000
SPLUS,SPLUS-s02s08,334.1875,-1.35916666667,2000
SPLUS,SPLUS-s02s09,335.545833333,-1.35916666667,2000
SPLUS,SPLUS-s02s10,336.904166667,-1.35916666667,2000
SPLUS,SPLUS-s02s11,338.2625,-1.35916666667,2000
SPLUS,SPLUS-s02s12,339.620833333,-1.35916666667,2000
SPLUS,SPLUS-s02s13,340.979166667,-1.35916666667,2000
SPLUS,SPLUS-s02s15,343.7,-1.35916666667,2000
SPLUS,SPLUS-s02s16,345.058333333,-1.35916666667,2000
SPLUS,SPLUS-s02s19,349.13333333300005,-1.35916666667,2000
SPLUS,SPLUS-s02s20,350.49166666699995,-1.35916666667,2000
SPLUS,SPLUS-s02s21,351.85,-1.35916666667,2000
SPLUS,SPLUS-s02s22,353.20833333300004,-1.35916666667,2000
SPLUS,SPLUS-s02s23,354.566666667,-1.35916666667,2000
SPLUS,SPLUS-s02s24,355.925,-1.35916666667,2000
SPLUS,SPLUS-s02s25,357.28333333300003,-1.35916666667,2000
SPLUS,SPLUS-s02s26,358.641666667,-1.35916666667,2000
SPLUS,SPLUS-s03s01,324.679166667,-2.71722222222,2000
SPLUS,SPLUS-s03s03,327.395833333,-2.71722222222,2000
SPLUS,SPLUS-s03s04,328.754166667,-2.71722222222,2000
SPLUS,SPLUS-s03s05,330.1125,-2.71722222222,2000
SPLUS,SPLUS-n01s01,150.79166666700002,0.0,2000
SPLUS,SPLUS-n01s18,173.8875,0.0,2000
SPLUS,SPLUS-n01s19,175.24583333299998,0.0,2000
SPLUS,SPLUS-n01s20,176.60416666700002,0.0,2000
SPLUS,SPLUS-n01s21,177.9625,0.0,2000
SPLUS,SPLUS-n01s22,179.320833333,0.0,2000
SPLUS,SPLUS-n01s23,180.679166667,0.0,2000
SPLUS,SPLUS-n01s24,182.0375,0.0,2000
SPLUS,SPLUS-n01s25,183.39583333299998,0.0,2000
SPLUS,SPLUS-n01s26,184.75416666700002,0.0,2000
SPLUS,SPLUS-n01s27,186.1125,0.0,2000
SPLUS,SPLUS-n01s28,187.470833333,0.0,2000
SPLUS,SPLUS-n01s37,199.7,0.0,2000
SPLUS,SPLUS-n01s38,201.05833333299998,0.0,2000
SPLUS,SPLUS-n02s18,173.8875,-1.35916666667,2000
SPLUS,SPLUS-n02s19,175.24583333299998,-1.35916666667,2000
SPLUS,SPLUS-n02s20,176.60416666700002,-1.35916666667,2000
SPLUS,SPLUS-n02s21,177.9625,-1.35916666667,2000
SPLUS,SPLUS-n02s22,179.320833333,-1.35916666667,2000
SPLUS,SPLUS-n02s23,180.679166667,-1.35916666667,2000
SPLUS,SPLUS-n02s24,182.0375,-1.35916666667,2000
SPLUS,SPLUS-n02s25,183.39583333299998,-1.35916666667,2000
SPLUS,SPLUS-n02s26,184.75416666700002,-1.35916666667,2000
SPLUS,SPLUS-n02s27,186.1125,-1.35916666667,2000
SPLUS,SPLUS-n02s28,187.470833333,-1.35916666667,2000
SPLUS,SPLUS-n02s37,199.7,-1.35916666667,2000
SPLUS,SPLUS-n02s38,201.05833333299998,-1.35916666667,2000
SPLUS,SPLUS-n02s44,209.20833333299998,-1.35916666667,2000
SPLUS,SPLUS-n02n01,150.79166666700002,1.3593030000000002,2000
SPLUS,SPLUS-n02n18,173.8875,1.3593030000000002,2000
SPLUS,SPLUS-n02n19,175.24583333299998,1.3593030000000002,2000
SPLUS,SPLUS-n02n20,176.60416666700002,1.3593030000000002,2000
SPLUS,SPLUS-n02n21,177.9625,1.3593030000000002,2000
SPLUS,SPLUS-n02n22,179.320833333,1.3593030000000002,2000
SPLUS,SPLUS-n02n23,180.679166667,1.3593030000000002,2000
SPLUS,SPLUS-n02n24,182.0375,1.3593030000000002,2000
SPLUS,SPLUS-n02n25,183.39583333299998,1.3593030000000002,2000
SPLUS,SPLUS-n02n26,184.75416666700002,1.3593030000000002,2000
SPLUS,SPLUS-n02n27,186.1125,1.3593030000000002,2000
SPLUS,SPLUS-n02n28,187.470833333,1.3593030000000002,2000
SPLUS,SPLUS-n02n44,209.20833333299998,1.3593030000000002,2000
SPLUS,SPLUS-n03s18,173.8875,-2.71722222222,2000
SPLUS,SPLUS-n03s19,175.24583333299998,-2.71722222222,2000
SPLUS,SPLUS-n03s20,176.60416666700002,-2.71722222222,2000
SPLUS,SPLUS-n03s21,177.9625,-2.71722222222,2000
SPLUS,SPLUS-n03s22,179.320833333,-2.71722222222,2000
SPLUS,SPLUS-n03s23,180.679166667,-2.71722222222,2000
SPLUS,SPLUS-n03s24,182.0375,-2.71722222222,2000
SPLUS,SPLUS-n03s25,183.39583333299998,-2.71722222222,2000
SPLUS,SPLUS-n03s26,184.75416666700002,-2.71722222222,2000
SPLUS,SPLUS-n03s27,186.1125,-2.71722222222,2000
SPLUS,SPLUS-n03s28,187.470833333,-2.71722222222,2000
SPLUS,SPLUS-n03s43,207.85,-2.71722222222,2000
SPLUS,SPLUS-n03s44,209.20833333299998,-2.71722222222,2000
SPLUS,SPLUS-n03n01,150.79166666700002,2.71721427778,2000
SPLUS,SPLUS-n04s41,205.133333333,-4.07361111111,2000
SPLUS,SPLUS-n04s42,206.491666667,-4.07361111111,2000
SPLUS,SPLUS-n04s43,207.85,-4.07361111111,2000
SPLUS,SPLUS-n04s44,209.20833333299998,-4.07361111111,2000
SPLUS,SPLUS-n04n01,150.79166666700002,4.07373991667,2000
SPLUS,SPLUS-n05s01,150.0,-5.42888888889,2000
SPLUS,SPLUS-n05s02,151.3625,-5.42888888889,2000
SPLUS,SPLUS-n05s03,152.72916666700002,-5.42888888889,2000
SPLUS,SPLUS-n05s43,207.27083333299998,-5.42888888889,2000
SPLUS,SPLUS-n05s44,208.6375,-5.42888888889,2000
SPLUS,SPLUS-n05s45,210.0,-5.42888888889,2000
SPLUS,SPLUS-n05n50,216.81666666700002,5.428889166669999,2000
SPLUS,SPLUS-n05n53,220.908333333,5.428889166669999,2000
SPLUS,SPLUS-n05n55,223.6375,5.428889166669999,2000
SPLUS,SPLUS-n06s01,150.0,-6.7825,2000
SPLUS,SPLUS-n06s02,151.3625,-6.7825,2000
SPLUS,SPLUS-n06s03,152.72916666700002,-6.7825,2000
SPLUS,SPLUS-n06s40,203.18333333299998,-6.7825,2000
SPLUS,SPLUS-n06s41,204.545833333,-6.7825,2000
