PID,RA_d,DEC_d,EPOC,NAME
HYDRA,150.771,-23.909,2000,HYDRA-0011
HYDRA,152.308,-23.909,2000,HYDRA-0012
HYDRA,153.846,-23.909,2000,HYDRA-0013
HYDRA,155.383,-23.909,2000,HYDRA-0014
HYDRA,156.925,-23.909,2000,HYDRA-0015
HYDRA,158.463,-23.909,2000,HYDRA-0016
HYDRA,160.000,-23.909,2000,HYDRA-0017
HYDRA,161.538,-23.909,2000,HYDRA-0018
HYDRA,163.075,-23.909,2000,HYDRA-0019
HYDRA,164.617,-23.909,2000,HYDRA-0020
HYDRA,151.171,-25.300,2000,HYDRA-0021
HYDRA,152.729,-25.300,2000,HYDRA-0022
HYDRA,154.288,-25.300,2000,HYDRA-0023
HYDRA,155.846,-25.300,2000,HYDRA-0024
HYDRA,157.404,-25.300,2000,HYDRA-0025
HYDRA,158.963,-25.300,2000,HYDRA-0026
HYDRA,160.521,-25.300,2000,HYDRA-0027
HYDRA,162.079,-25.300,2000,HYDRA-0028
HYDRA,163.638,-25.300,2000,HYDRA-0029
HYDRA,150.000,-26.690,2000,HYDRA-0030
HYDRA,151.579,-26.690,2000,HYDRA-0031
HYDRA,153.158,-26.690,2000,HYDRA-0032
HYDRA,154.738,-26.690,2000,HYDRA-0033
HYDRA,156.317,-26.690,2000,HYDRA-0034
HYDRA,157.896,-26.690,2000,HYDRA-0035
HYDRA,159.475,-26.690,2000,HYDRA-0036
HYDRA,161.054,-26.690,2000,HYDRA-0037
HYDRA,162.633,-26.690,2000,HYDRA-0038
HYDRA,164.213,-26.690,2000,HYDRA-0039
HYDRA,151.329,-28.077,2000,HYDRA-0040
HYDRA,152.921,-28.077,2000,HYDRA-0041
HYDRA,154.513,-28.077,2000,HYDRA-0042
HYDRA,156.104,-28.077,2000,HYDRA-0043
HYDRA,157.700,-28.077,2000,HYDRA-0044
HYDRA,159.292,-28.077,2000,HYDRA-0045
HYDRA,160.883,-28.077,2000,HYDRA-0046
HYDRA,162.479,-28.077,2000,HYDRA-0047
HYDRA,164.071,-28.077,2000,HYDRA-0048
HYDRA,150.133,-29.463,2000,HYDRA-0049
HYDRA,151.750,-29.463,2000,HYDRA-0050
HYDRA,153.363,-29.463,2000,HYDRA-0051
HYDRA,154.979,-29.463,2000,HYDRA-0052
HYDRA,156.592,-29.463,2000,HYDRA-0053
HYDRA,158.208,-29.463,2000,HYDRA-0054
HYDRA,159.821,-29.463,2000,HYDRA-0055
HYDRA,161.433,-29.463,2000,HYDRA-0056
HYDRA,163.050,-29.463,2000,HYDRA-0057
HYDRA,164.663,-29.463,2000,HYDRA-0058
HYDRA,150.546,-30.847,2000,HYDRA-0059
HYDRA,152.183,-30.847,2000,HYDRA-0060
HYDRA,153.817,-30.847,2000,HYDRA-0061
HYDRA,155.454,-30.847,2000,HYDRA-0062
HYDRA,157.092,-30.847,2000,HYDRA-0063
HYDRA,158.729,-30.847,2000,HYDRA-0064
HYDRA,160.363,-30.847,2000,HYDRA-0065
HYDRA,162.000,-30.847,2000,HYDRA-0066
HYDRA,163.638,-30.847,2000,HYDRA-0067
HYDRA,150.967,-32.229,2000,HYDRA-0068
HYDRA,152.625,-32.229,2000,HYDRA-0069
HYDRA,154.288,-32.229,2000,HYDRA-0070
HYDRA,155.946,-32.229,2000,HYDRA-0071
HYDRA,157.604,-32.229,2000,HYDRA-0072
HYDRA,159.263,-32.229,2000,HYDRA-0073
HYDRA,160.921,-32.229,2000,HYDRA-0074
